label,max,mean,median,min,num_files,num_turns,q1,q3,std
c0,1.0,0.6231368584223212,0.7100203230170989,2.7845955600637694e-07,37,513,0.37636282852143954,0.9620708583864033,0.3494482045207034
c1,1.0,0.5946725824055098,0.6666505632556339,3.7912802139559533e-10,32,430,0.3524641331959156,0.8874944898993937,0.340497740785073
c2,1.0,0.5925512717702182,0.6666790374876224,3.7912802139559533e-10,52,720,0.32154507661409126,0.9204540868173106,0.347189056862182
c3,1.0,0.5870636805067219,0.6656105867567429,3.7912802139559533e-10,32,441,0.31569078273211865,0.9259745485705675,0.35081096419047403
c4,1.0,0.6163197762352592,0.6723114948831643,3.7912802139559533e-10,37,510,0.40033991769473243,0.9502391314426644,0.34031097189623166
