cluster,label,max_containment_overlap,max_jaccard_overlap,nearest_labels_by_cosine_overlap,num_files
1,1.1,0.5789473684210527,0.3269230769230769,2.6:0.494(17); 2.3:0.446(11); 2.2:0.408(12); 1.5:0.344(12),32
2,1.3,0.868421052631579,0.6346153846153846,1.5:0.781(33); 2.2:0.505(18); 2.6:0.480(20); 2.3:0.468(14),47
2,1.5,0.868421052631579,0.6346153846153846,1.3:0.781(33); 2.6:0.560(21); 2.3:0.558(15); 2.2:0.531(17),38
2,2.2,0.7368421052631579,0.4375,2.3:0.618(14); 1.5:0.531(17); 2.6:0.506(16); 1.3:0.505(18),27
2,2.3,0.7894736842105263,0.4375,2.2:0.618(14); 1.5:0.558(15); 1.3:0.468(14); 1.1:0.446(11),19
2,2.6,0.5925925925925926,0.3888888888888889,1.5:0.560(21); 2.2:0.506(16); 1.1:0.494(17); 1.3:0.480(20),37
