best_label,best_label_mean,eta_squared,higher_is_better,label_means,mean_range,score_key,score_title,worst_label,worst_label_mean
c0,0.2540464227964228,0.03194149036052613,True,c0:0.2540; c1:0.1676; c2:0.1670; c3:0.1623; c4:0.2060,0.09179623425946956,high_low_half_penalty_0_8_0_5,High >= 0.8 Minus 0.5 Low < 0.5,c3,0.16225018853695325
c0,0.4079134079134079,0.03129446816298521,True,c0:0.4079; c1:0.3390; c2:0.3423; c3:0.3448; c4:0.3703,0.06893675956175954,high_score_rate_0_8,High Rate >=0.8,c1,0.33897664835164837
c0,0.1563613751113751,0.031086288257247102,True,c0:0.1564; c1:0.0765; c2:0.0905; c3:0.0801; c4:0.1088,0.07989045020295019,high_low_half_penalty_0_9_0_5,High >= 0.9 Minus 0.5 Low < 0.5,c1,0.07647092490842491
c0,0.31222857472857474,0.03091565106427675,True,c0:0.3122; c1:0.2415; c2:0.2376; c3:0.2337; c4:0.2763,0.07848248013689191,high_low_half_penalty_0_8_0_2,High >= 0.8 Minus 0.5 Low < 0.2,c3,0.23374609459168283
c0,0.10017943767943768,0.030259453576680834,True,c0:0.1002; c1:-0.0038; c2:-0.0084; c3:-0.0203; c4:0.0416,0.12048150081238317,high_low_gap_0_8_0_5,High >= 0.8 Minus Low < 0.5,c3,-0.020302063132945483
c0,0.0024943899943899936,0.02976914695912837,True,c0:0.0025; c1:-0.0949; c2:-0.0849; c3:-0.1025; c4:-0.0556,0.1049622040430864,high_low_gap_0_9_0_5,High >= 0.9 Minus Low < 0.5,c3,-0.1024678140486964
c0,0.29595914595914596,0.02911262751973506,True,c0:0.2960; c1:0.2227; c2:0.2207; c3:0.2212; c4:0.2643,0.07525851363521047,high_low_half_penalty_0_8_0_3,High >= 0.8 Minus 0.5 Low < 0.3,c2,0.2207006323239355
c0,0.21654374154374154,0.029082197811106585,True,c0:0.2165; c1:0.1441; c2:0.1329; c3:0.1227; c4:0.1822,0.09385399256722785,high_low_gap_0_8_0_2,High >= 0.8 Minus Low < 0.2,c3,0.12268974897651369
c0,0.31022836022836026,0.027619772869432985,True,c0:0.3102; c1:0.2479; c2:0.2658; c3:0.2626; c4:0.2732,0.06234603422103424,high_score_rate_0_9,High Rate >=0.9,c1,0.24788232600732601
c0,0.2756354568854569,0.02635604624674749,True,c0:0.2756; c1:0.2032; c2:0.2046; c3:0.1986; c4:0.2447,0.07706093092122501,high_low_half_penalty_0_8_0_4,High >= 0.8 Minus 0.5 Low < 0.4,c3,0.19857452596423186
c0,0.18400488400488402,0.02629574526411331,True,c0:0.1840; c1:0.1065; c2:0.0991; c3:0.0975; c4:0.1583,0.08650501867413633,high_low_gap_0_8_0_3,High >= 0.8 Minus Low < 0.3,c3,0.09749986533074768
c0,0.26282305079155066,0.026261277404933666,True,c0:0.2628; c1:0.2143; c2:0.2113; c3:0.2154; c4:0.2425,0.05148117692458007,high_density_score_0_8,Mean Times High Rate >=0.8,c2,0.2113418738669706
