label,max,mean,median,min,num_files,num_turns,q1,q3,std
0.0,0.8272407568697916,0.6254223658205154,0.6144649697870975,0.4479482602657563,37,37,0.5801630974968982,0.6846746970652792,0.08744090557771828
1.1,0.8430900656247938,0.595683268713348,0.5830246553071423,0.44280044014334563,32,32,0.52483199966678,0.6575201431603662,0.10187382316848498
1.3,0.7653891275867529,0.5952734825779206,0.5837314584983742,0.44280044014334563,47,47,0.5403741939221987,0.6473628853368907,0.08039670731948731
1.4,0.72210552892482,0.5901829254680517,0.5634980672452745,0.4695859269316622,5,5,0.5602791466068113,0.6354459576316909,0.08438278152324205
1.5,0.7616332870384501,0.583370237546034,0.5720108403669133,0.44280044014334563,38,38,0.5356336434519893,0.6337475011699798,0.08270601716635533
2.1,0.6354459576316909,0.5572022746038597,0.5618886069260429,0.4695859269316622,4,4,0.537605841688024,0.5814850398418786,0.058838343067002974
2.2,0.8430900656247938,0.5952934303252618,0.5837314584983742,0.4339586321470037,27,27,0.5311527969667907,0.6514242240636761,0.10487268954100465
2.3,0.8430900656247938,0.5655075322352233,0.5444286534217636,0.4339586321470037,19,19,0.48801998332348007,0.6103834937361732,0.09928200618517292
2.4,0.6107317458670868,0.5168866915909646,0.5070072901767129,0.44280044014334563,4,4,0.46288955523458303,0.5610044265330945,0.0657487430763738
2.6,0.8430900656247938,0.6137878228410063,0.5977445042319446,0.44280044014334563,37,37,0.5444286534217636,0.6780083106891622,0.10586560184998113
3.1,0.8415844970269651,0.5673577316553431,0.5391280469636687,0.44280044014334563,13,13,0.4695859269316622,0.6038489479118913,0.11784853473668319
3.2,0.82278099846221,0.6243342674411548,0.6337746028229481,0.44381308112517487,22,22,0.5378312406543525,0.6997381096624783,0.10557875966911019
3.3,0.8180844985451563,0.5930887045518929,0.5785178806835437,0.44280044014334563,33,33,0.5416203408807287,0.6354459576316909,0.08646325559537434
