cluster,consistency_score_file_iqr,consistency_score_file_mean,consistency_score_file_median,consistency_score_file_q10,consistency_score_file_q25,consistency_score_file_q75,consistency_score_file_std,high_score_rate_0_7,high_score_rate_0_8,high_score_rate_0_9,label,low_score_rate_0_2,low_score_rate_0_5,num_files,num_turns,pca_x,pca_y,phase_mean::CodeComplete,phase_mean::CodeReviewComment,phase_mean::CodeReviewModification,phase_mean::Coding,phase_mean::DemandAnalysis,phase_mean::EnvironmentDoc,phase_mean::LanguageChoose,phase_mean::Manual,phase_mean::Reflection,phase_mean::TestErrorSummary,phase_mean::TestModification,role_mean::Chief Executive Officer,role_mean::Chief Product Officer,role_mean::Chief Technology Officer,role_mean::Code Reviewer,role_mean::Programmer,worst_score
1,0.48679434552374906,0.595683268713348,0.6508379734733909,0.14046403217340997,0.3690547715106666,0.8558491170344157,0.3210804104010148,0.445970695970696,0.33897664835164837,0.24788232600732601,1.1,0.19487179487179487,0.3428228021978022,32,430,-3.1384513452761085,2.0723585258307713,0.4801032679207873,0.4378355001125146,0.4750322585118421,0.5733654444666014,0.6748889572646728,0.7322903748368534,0.828813350754464,0.7058007205128982,0.7783069492777094,0.9676083536228922,0.5211346147888145,0.7783069492777094,0.6844002690333575,0.828813350754464,0.4378355001125146,0.558603262266306,0.044477912845525026
2,0.5279870668396297,0.5952734825779206,0.672262338068941,0.11483784425409102,0.345615094833898,0.8736021616735277,0.3338362189962066,0.46703084670856887,0.34669762340287996,0.26535739500382804,1.3,0.20648618694613688,0.348636516799846,47,653,-1.7847527722312626,0.37745227429301503,0.7297653442893609,0.4331675307767034,0.4170360641922424,0.4825181877794823,0.7477909729692527,0.7823962471254017,0.8035949048815292,0.6852954250718023,0.8356108473976465,0.9979855315958739,0.6183662571882282,0.8356108473976465,0.7287176564031478,0.8035949048815292,0.4331675307767034,0.5274870670367581,0.02534302748388041
3,0.4748317034913116,0.5901829254680517,0.6149502283666258,0.172008742791836,0.3706102188458319,0.8454419223371434,0.3149517392065464,0.4606981254040078,0.2866192630898513,0.2440853264382676,1.4,0.17879767291531998,0.42818358112475763,5,70,-1.4032091289967759,-4.149246177996756,0.0,0.4626070754714168,0.32565638970650507,0.4820095134913382,0.7430836287938114,0.9197682257632963,0.8445392096782413,0.6900689697794368,0.8485503917574975,0.0,0.6491141496204588,0.8485503917574975,0.7265165478518193,0.8445392096782413,0.4626070754714168,0.516331284902104,0.03013017692238841
2,0.5360701532742227,0.583370237546034,0.644676242196675,0.11319552647849548,0.333624730135694,0.8696948834099167,0.3358838765736807,0.45432040224996884,0.3196107491579628,0.26407201544585446,1.5,0.21338420995928736,0.3707404115492351,38,527,-0.4096210464097269,0.43571475793180464,0.7304851424001573,0.4254098574774082,0.39511149168462895,0.46901815407197195,0.7197810585970102,0.7799211389261964,0.8021215888009745,0.6961575753767488,0.8390063864745021,0.9979855315958739,0.6183662571882282,0.8390063864745021,0.7126565160385188,0.8021215888009745,0.4254098574774082,0.5101811802728292,0.01641869441165934
3,0.47242009512816474,0.5572022746038597,0.5724331606411664,0.14736866492803247,0.33443789447576955,0.8068579896039343,0.3178332514630513,0.415158371040724,0.251131221719457,0.1979638009049774,2.1,0.18778280542986425,0.4638009049773756,4,56,2.2920457083282155,-5.592190915244225,0.0,0.4717805227217608,0.20378577049751886,0.4834525808381429,0.7337647686883332,0.8876761038927462,0.8056740509611544,0.6812669409371331,0.8485503917574975,0.0,0.7242201776879917,0.8485503917574975,0.7176115909187332,0.8056740509611544,0.4717805227217608,0.4362435922775013,0.013825355478482739
1,0.4872755352351214,0.5952934303252618,0.6785852303577576,0.11628340150486796,0.3599177668923317,0.847193302127453,0.3264137610339653,0.46801375820983665,0.34540688070099834,0.2556090242364752,2.2,0.21534072318386044,0.33958118860079645,27,371,-1.8623326252773567,2.066489860412178,0.7304851424001573,0.4254564016813354,0.47663295756424645,0.5052696521801016,0.6789464148260362,0.7458117457433495,0.8047942977127727,0.7205674893964858,0.8382228599288387,0.0,0.7080154087517698,0.8382228599288387,0.6917165172510605,0.8047942977127727,0.4254564016813354,0.5557410115429886,0.04387724110491927
2,0.5429231723351725,0.5655075322352233,0.6222681950017368,0.08578209384317714,0.31164746888692996,0.8545706412221025,0.337100265526901,0.4241429365268375,0.31108427176538633,0.24586352759727373,2.3,0.23685684800235884,0.38832715272343754,19,263,1.4672673387090236,2.540083861513017,0.7304851424001573,0.35373883080610186,0.38421683205695095,0.5309332476205105,0.6517796207693185,0.7910765404091368,0.8416527143584077,0.7179066719736072,0.8809662830661742,0.9676083536228922,0.5519594540702879,0.8809662830661742,0.672044362267407,0.8416527143584077,0.35373883080610186,0.5235900444161454,0.030236031294319978
4,0.5605306706696408,0.5168866915909646,0.5862850030451912,0.016875011165418573,0.2130592605810146,0.7735899312506553,0.35465203974746073,0.375,0.24175824175824176,0.20467032967032966,2.4,0.28296703296703296,0.4175824175824176,4,53,9.262012604472453,1.7845611455895485,0.0,0.2481365854251672,0.3349608994658008,0.5223873744824501,0.6723355358891396,0.7527103949911904,0.7650205594634625,0.700012040375539,0.9091393982205374,0.0,0.0,0.9091393982205374,0.6808513834234163,0.7650205594634625,0.2481365854251672,0.4701253460226363,0.00646557283553965
1,0.47848245492947106,0.6137878228410063,0.674716768887687,0.16294499642486215,0.388321115564596,0.8668035704940671,0.31986706063039844,0.4763785763785764,0.37034947034947036,0.2732204732204732,2.6,0.18814968814968816,0.3287892287892288,37,510,-4.4229587333184615,0.4647766676706459,0.515670702646687,0.5372620555152232,0.4589005217462776,0.5223730813419547,0.7097435744018351,0.7312376645196815,0.8309743273228195,0.6745331730944729,0.8282395035382669,0.9436544915132237,0.4580597283511917,0.8282395035382669,0.6990650100709138,0.8309743273228195,0.5372620555152232,0.5391456565909113,0.038521348836629415
