auc_best_direction,c3_mean,c3_n,direction,eta_squared,mean_delta_c3_minus_rest,rest_mean,rest_n,score_key
0.701443829113924,0.26993335551578024,32,high_is_c3,0.06805371490746957,0.32460340220252093,-0.05467004668674067,158,c3_lda_top_55_score
0.6972903481012658,0.2578725884741836,32,high_is_c3,0.0645147509547405,0.31009994816515785,-0.05222735969097428,158,c3_lda_top_40_score
0.6826542721518988,0.22583328318534338,32,high_is_c3,0.05641842475678585,0.27157166965326085,-0.045738386467917495,158,c3_lda_top_20_score
0.6626780063291139,0.1686110059037121,32,high_is_c3,0.044543724876824384,0.20276007039053995,-0.034149064486827835,158,c3_lda_top_8_score
0.6541732594936709,1.1968953753896432,32,high_is_c3,0.040378602134790165,1.439304565341976,-0.2424091899523328,158,c3_interpretable_symptom_score
0.5908821202531646,0.7283828267297795,32,high_is_c3,0.01584749798686893,0.03855311855404331,0.6898297081757362,158,phase_mean::Manual
0.5950356012658228,0.7053974025782693,32,high_is_c3,0.015212683060317356,0.8482626993029819,-0.14286529672471263,158,c3_code_review_failure_score
0.5349090189873418,0.10023950826632562,32,high_is_c3,0.012270202376067749,0.05494011153985633,0.045299396726469286,158,phase_mean::TestModification
0.5887064873417722,0.6754734981981286,32,low_is_c3,0.010967131517196043,-0.04307276840550045,0.7185462666036291,158,phase_mean::DemandAnalysis
0.571993670886076,0.6015625,32,high_is_c3,0.009477364156849707,0.09787051687763715,0.5036919831223629,158,phase_low05::CodeReviewComment
0.571993670886076,0.6015625,32,high_is_c3,0.009477364156849707,0.09787051687763715,0.5036919831223629,158,role_low05::Code Reviewer
0.5653678797468354,0.7778873087696617,32,low_is_c3,0.009349911560206996,-0.02483561827847014,0.8027229270481319,158,high_score_rate_0_2
0.5653678797468354,0.22211269123033828,32,high_is_c3,0.009349911560206954,0.024835618278470084,0.1972770729518682,158,low_score_rate_0_2
0.5589398734177216,8.03125,32,high_is_c3,0.008943543777021619,0.15150316455696178,7.879746835443038,158,num_phases
0.5651700949367089,0.3945611554126246,32,low_is_c3,0.008603913666811984,-0.07141440574684949,0.4659755611594741,158,phase_mean::CodeReviewComment
0.5651700949367089,0.3945611554126246,32,low_is_c3,0.008603913666811984,-0.07141440574684949,0.4659755611594741,158,role_mean::Code Reviewer
0.5591376582278481,0.65625,32,high_is_c3,0.007943468018924793,0.11827531645569622,0.5379746835443038,158,phase_low05::Coding
0.5711036392405063,0.4998417911306575,32,high_is_c3,0.007850016842955323,0.6010755716128159,-0.1012337804821584,158,c3_low_tail_score
0.5720925632911392,0.6711446801863761,32,high_is_c3,0.007163108617792945,0.0896107975588577,0.5815338826275184,158,phase_mean::Reflection
0.5720925632911392,0.6711446801863761,32,high_is_c3,0.007163108617792945,0.0896107975588577,0.5815338826275184,158,role_mean::Chief Executive Officer
0.5512262658227848,0.36510450333979744,32,high_is_c3,0.007158675946445546,0.031185182609233197,0.33391932073056424,158,low_score_rate_0_5
0.5656645569620253,0.29245582848524027,32,high_is_c3,0.00661729886309241,0.026041885433173595,0.26641394305206667,158,low_score_rate_0_4
0.5189873417721519,3.0,32,low_is_c3,0.006604292790313774,-0.037974683544304,3.037974683544304,158,phase_count::CodeReviewModification
0.5406447784810127,0.5039333572768327,32,low_is_c3,0.00626601778132883,-0.05206000640174124,0.555993363678574,158,phase_mean::Coding
0.5627966772151899,0.587070909124826,32,low_is_c3,0.005511336833463626,-0.019049292630199943,0.6061202017550259,158,consistency_score_file_mean
0.5158227848101266,0.0,32,low_is_c3,0.005473828258638385,-0.03164556962025317,0.03164556962025317,158,phase_low05::Reflection
0.5158227848101266,0.0,32,low_is_c3,0.005473828258638385,-0.03164556962025317,0.03164556962025317,158,role_low05::Chief Executive Officer
0.553995253164557,0.2552083333333333,32,high_is_c3,0.0052695985585395596,0.04687499999999997,0.20833333333333334,158,phase_low05::DemandAnalysis
0.5333267405063291,0.15625,32,high_is_c3,0.005028338691313373,0.0613132911392405,0.0949367088607595,158,phase_count::TestModification
0.5529074367088608,0.3380341939736106,32,low_is_c3,0.004793812901430088,-0.03560022686286357,0.3736344208364742,158,consistency_score_file_q25
0.5155261075949367,0.04043903234835629,32,high_is_c3,0.004459726350665527,0.021333787923104128,0.01910524442525216,158,phase_mean::CodeComplete
0.560818829113924,0.6907699362161097,32,low_is_c3,0.00431789587847064,-0.01848929165781321,0.7092592278739229,158,role_mean::Chief Product Officer
0.5701147151898734,0.10958762044529338,32,low_is_c3,0.003977603469249023,-0.028880864879790663,0.13846848532508405,158,consistency_score_file_q10
0.5389636075949367,0.1875,32,high_is_c3,0.003183882670976847,0.027885774562989768,0.15961422543701023,158,role_low05::Chief Product Officer
