higher_is_better,label,max,mean,median,min,num_files,q1,q3,score_key,score_title,std
True,c0,0.8272407568697916,0.6254223658205154,0.6144649697870975,0.4479482602657563,37,0.5801630974968982,0.6846746970652792,consistency_score_file_mean,Mean Turn Score,0.08744090557771828
True,c1,0.8430900656247938,0.595683268713348,0.5830246553071423,0.44280044014334563,32,0.52483199966678,0.6575201431603662,consistency_score_file_mean,Mean Turn Score,0.10187382316848498
True,c2,0.7653891275867529,0.593352890345974,0.5811246695909589,0.44280044014334563,52,0.537944478978253,0.6468611145269323,consistency_score_file_mean,Mean Turn Score,0.08329461119644153
True,c3,0.8430900656247938,0.587070909124826,0.5813912041793337,0.4339586321470037,32,0.52483199966678,0.6468611145269323,consistency_score_file_mean,Mean Turn Score,0.10063000221184426
True,c4,0.8430900656247938,0.6137878228410063,0.5977445042319446,0.44280044014334563,37,0.5444286534217636,0.6780083106891622,consistency_score_file_mean,Mean Turn Score,0.10586560184998113
True,c0,0.9033608385557785,0.7058221654534564,0.7239423483435325,0.39752283160595214,37,0.6287791580088488,0.7884990012493636,consistency_score_file_median,Median Turn Score,0.11370018304549404
True,c1,0.9378035739786901,0.6508379734733909,0.6512708218742167,0.4139512679549922,32,0.5396652254061054,0.7737484010345562,consistency_score_file_median,Median Turn Score,0.14228406364494128
True,c2,0.9953907221774507,0.6650598677896916,0.6659241830173086,0.42575686942320834,52,0.5801619168276978,0.7605017433423823,consistency_score_file_median,Median Turn Score,0.12711546562840118
True,c3,0.9953907221774507,0.6588985652196994,0.6637278439983856,0.42575686942320834,32,0.5740149053889896,0.7335664238935589,consistency_score_file_median,Median Turn Score,0.13959065202884477
True,c4,0.984920437282848,0.674716768887687,0.6608210282777969,0.4139512679549922,37,0.5748821169653306,0.7924979139651027,consistency_score_file_median,Median Turn Score,0.14751456481325223
True,c0,0.75605701605214,0.1411381083282264,0.054428032639131624,0.0004543835672565834,37,0.021868184547607427,0.13446654064195898,consistency_score_file_q10,Q10 Score,0.1854509406480352
True,c1,0.6531573719265291,0.14046403217340997,0.056106472762638304,0.0016914988655521873,32,0.014951858772974645,0.19211139940671665,consistency_score_file_q10,Q10 Score,0.1771208991445331
True,c2,0.5385404818511171,0.1179249379990362,0.04977707512356564,0.0014552242045454934,52,0.014477392613637863,0.18149538469874393,consistency_score_file_q10,Q10 Score,0.14653212754049696
True,c3,0.6531573719265291,0.10958762044529338,0.03560469551344246,0.0016914988655521873,32,0.013841552726345824,0.10822832415120573,consistency_score_file_q10,Q10 Score,0.1595081726370368
True,c4,0.6656471831625812,0.16294499642486215,0.0842124266811112,0.0014552242045454934,37,0.026254054713495775,0.23042164777008492,consistency_score_file_q10,Q10 Score,0.18790680898613607
True,c0,0.7922928762840169,0.40142404581295205,0.44808604497599536,0.05925446302905872,37,0.2337533042773551,0.5739944458735592,consistency_score_file_q25,Q25 Score,0.20195864657809132
True,c1,0.7464600674140857,0.3690547715106666,0.3794093790349924,0.03684037867965332,32,0.2195598095895479,0.5037507871532875,consistency_score_file_q25,Q25 Score,0.19723429820358887
True,c2,0.6868862297761485,0.346229131401006,0.34995508784201995,0.008577486334930719,52,0.20830011160264447,0.4978790165695461,consistency_score_file_q25,Q25 Score,0.17812181543956698
True,c3,0.7464600674140857,0.3380341939736106,0.3423074984547686,0.03732688524565363,32,0.2078391118146865,0.4978790165695461,consistency_score_file_q25,Q25 Score,0.17715646309966107
True,c4,0.7993317964572109,0.388321115564596,0.4443694425250381,0.008577486334930719,37,0.21613302675518448,0.5152995163260812,consistency_score_file_q25,Q25 Score,0.20249252001498708
True,c0,0.5126928942986098,0.04141294094451676,0.005220056172715568,2.7845955600637694e-07,37,0.00023533812728281022,0.014604505669426818,worst_score,Worst Turn Score,0.10548947451425886
True,c1,0.43553251716152935,0.044477912845525026,0.005097718718334181,3.7912802139559533e-10,32,0.001018346069922887,0.017986213979585088,worst_score,Worst Turn Score,0.09606950621766609
True,c2,0.2498674428545347,0.022980566407815803,0.0033116089929969826,3.7912802139559533e-10,52,0.00039070455967935773,0.01742446132952521,worst_score,Worst Turn Score,0.0505424620749703
True,c3,0.43553251716152935,0.037068283500845366,0.0017139581018232705,3.7912802139559533e-10,32,0.0005219525528296238,0.015044274292962045,worst_score,Worst Turn Score,0.09900551622999032
True,c4,0.43553251716152935,0.038521348836629415,0.003372952950850894,3.7912802139559533e-10,37,0.0005446799519038229,0.014063627752950034,worst_score,Worst Turn Score,0.09503586101381521
True,c0,0.598140854367829,0.2920171194780509,0.2586621210260687,0.0675717840201644,37,0.1934512269766696,0.36821196369966497,mean_minus_std_score,Mean Minus Std,0.1292288477542642
True,c1,0.674390713195806,0.27460285831233316,0.23805348042907112,0.07866825129155308,32,0.1747441819801259,0.3495895616527641,mean_minus_std_score,Mean Minus Std,0.13758003488140805
True,c2,0.5222461876301798,0.2592031362966247,0.24037427196346312,0.07076977965474429,52,0.18537240623894072,0.2867033330248008,mean_minus_std_score,Mean Minus Std,0.11187544492694963
True,c3,0.674390713195806,0.25454859880720926,0.23905555028687092,0.07073207543685273,32,0.16986057372487745,0.281442660527872,mean_minus_std_score,Mean Minus Std,0.13564887773404902
True,c4,0.674390713195806,0.29392076221060787,0.27929011763084866,0.07076977965474429,37,0.18629595890036632,0.37909865890866373,mean_minus_std_score,Mean Minus Std,0.14284789233629291
True,c0,0.6913899946686588,0.4502195383577157,0.4380559638778693,0.31475017469479216,37,0.4073352096298237,0.4800810745252209,failure_sensitive_score,70% Mean + 30% Worst,0.08111515868348894
