score_key,eta2,f1,accuracy,precision,recall,specificity,balanced_accuracy,direction,threshold,tp,fp,tn,fn,n,c26_mean,c00_mean
entry_alignment_score_mean,0.06315971826852937,0.7216494845360825,0.6351351351351351,0.5833333333333334,0.9459459459459459,0.32432432432432434,0.6351351351351351,low_is_2.6,0.6779770331598836,35,25,12,2,74,0.6043909753317099,0.6392507327430709
entry_alignment_score_high_low_ratio_0_9_0_5,0.053838220483218,0.7184466019417475,0.6081081081081081,0.5606060606060606,1.0,0.21621621621621623,0.6081081081081081,low_is_2.6,1.4166666594583335,37,29,8,0,74,0.7669884145299016,1.1643500572152712
entry_alignment_score_min,0.05881543901511137,0.7157894736842105,0.6351351351351351,0.5862068965517241,0.918918918918919,0.35135135135135137,0.6351351351351352,low_is_2.6,0.1671193242602586,34,24,13,3,74,0.06211451026141689,0.11682032981686438
entry_alignment_score_high_low_gap_0_9_0_5,0.03393500611492636,0.7142857142857142,0.6216216216216216,0.5737704918032787,0.9459459459459459,0.2972972972972973,0.6216216216216216,low_is_2.6,0.07417582417582419,35,26,11,2,74,-0.10593010593010593,-0.04641413391413391
entry_alignment_score_low_high_gap_0_5_0_9,0.03393500611492636,0.7142857142857142,0.6216216216216216,0.5737704918032787,0.9459459459459459,0.2972972972972973,0.6216216216216216,high_is_2.6,-0.07417582417582419,35,26,11,2,74,0.10593010593010593,0.04641413391413391
phase_demandanalysis_mean,0.031598986879169594,0.7115384615384616,0.5945945945945946,0.5522388059701493,1.0,0.1891891891891892,0.5945945945945946,low_is_2.6,0.7638376515147052,37,30,7,0,74,0.4381101520668095,0.5020152243681822
phase_demandanalysis_low_rate_0_5,0.029312753705927393,0.7115384615384616,0.5945945945945946,0.5522388059701493,1.0,0.1891891891891892,0.5945945945945946,high_is_2.6,0.2361111111111111,37,30,7,0,74,0.5598631098631098,0.49633633633633634
entry_alignment_score_q75,0.03439690705034094,0.7096774193548389,0.6351351351351351,0.5892857142857143,0.8918918918918919,0.3783783783783784,0.6351351351351351,low_is_2.6,0.9680208886296029,33,23,14,4,74,0.8706199380160996,0.9049584479884258
alignment_score_min,0.03515395649256265,0.7083333333333333,0.6216216216216216,0.576271186440678,0.918918918918919,0.32432432432432434,0.6216216216216217,low_is_2.6,0.0,34,25,12,3,74,1.435722364362024e-10,1.2522683831155006e-09
entry_alignment_score_high_low_ratio_0_8_0_2,0.06616439582239257,0.7010309278350515,0.6081081081081081,0.5666666666666667,0.918918918918919,0.2972972972972973,0.6081081081081081,low_is_2.6,6.999999905000001,34,26,11,3,74,29106031.429002058,111850314.12508659
phase_codereviewcomment_min,0.015076751437101004,0.7000000000000001,0.5945945945945946,0.5555555555555556,0.9459459459459459,0.24324324324324326,0.5945945945945946,low_is_2.6,3.1445970523186056e-05,35,28,9,2,74,3.019202599769135e-05,0.017686067126711783
role_code_reviewer_min,0.015076751437101004,0.7000000000000001,0.5945945945945946,0.5555555555555556,0.9459459459459459,0.24324324324324326,0.5945945945945946,low_is_2.6,3.1445970523186056e-05,35,28,9,2,74,3.019202599769135e-05,0.017686067126711783
entry_alignment_score_high_low_gap_0_8_0_2,0.07850670219982767,0.6981132075471698,0.5675675675675675,0.5362318840579711,1.0,0.13513513513513514,0.5675675675675675,low_is_2.6,0.4807692307692308,37,32,5,0,74,0.19066429066429066,0.2748935748935749
entry_alignment_score_low_high_gap_0_2_0_8,0.07850670219982767,0.6981132075471698,0.5675675675675675,0.5362318840579711,1.0,0.13513513513513514,0.5675675675675675,high_is_2.6,-0.4807692307692308,37,32,5,0,74,-0.19066429066429066,-0.2748935748935749
entry_alignment_score_low_rate_0_2,0.04315769315351749,0.6938775510204082,0.5945945945945946,0.5573770491803278,0.918918918918919,0.2702702702702703,0.5945945945945946,high_is_2.6,0.03571428571428571,34,27,10,3,74,0.15008415008415008,0.11224878724878726
entry_alignment_score_high_rate_0_2,0.04315769315351748,0.6938775510204082,0.5945945945945946,0.5573770491803278,0.918918918918919,0.2702702702702703,0.5945945945945946,low_is_2.6,0.9642857142857143,34,27,10,3,74,0.8499158499158499,0.8877512127512127
