name,score_key,threshold,direction,precision,recall,specificity,accuracy,f1,tp,fp,tn,fn
precision_first,high_density_score_0_8,0.15874197827948816,low_is_c4,0.8,0.32432432432432434,0.918918918918919,0.6216216216216216,0.46153846153846156,12,3,34,25
balanced_precision_ge_0_70,consistency_score_file_q75,0.8374364168133258,low_is_c4,0.7,0.3783783783783784,0.8378378378378378,0.6081081081081081,0.4912280701754387,14,6,31,23
balanced_f0_5_fp_le_8,high_low_half_penalty_0_8_0_2,0.2403846153846154,low_is_c4,0.68,0.4594594594594595,0.7837837837837838,0.6216216216216216,0.5483870967741935,17,8,29,20
