score_key,direction,threshold,f1,precision,recall,specificity,accuracy,balanced_accuracy,tp,fp,tn,fn,n
consistency_score_file_mean,low_is_c4,0.6779770331598836,0.7216494845360825,0.5833333333333334,0.9459459459459459,0.32432432432432434,0.6351351351351351,0.6351351351351351,35,25,12,2,74
consistency_score_file_mean,low_is_c4,0.6794720561178906,0.7142857142857142,0.5737704918032787,0.9459459459459459,0.2972972972972973,0.6216216216216216,0.6216216216216216,35,26,11,2,74
consistency_score_file_mean,low_is_c4,0.7244615928460381,0.7115384615384616,0.5522388059701493,1.0,0.1891891891891892,0.5945945945945946,0.5945945945945946,37,30,7,0,74
consistency_score_file_mean,low_is_c4,0.6765208546824335,0.7083333333333333,0.576271186440678,0.918918918918919,0.32432432432432434,0.6216216216216216,0.6216216216216217,34,25,12,3,74
consistency_score_file_mean,low_is_c4,0.6843879546797138,0.7070707070707071,0.5645161290322581,0.9459459459459459,0.2702702702702703,0.6081081081081081,0.6081081081081081,35,27,10,2,74
consistency_score_file_mean,low_is_c4,0.713536056601448,0.7058823529411765,0.5538461538461539,0.972972972972973,0.21621621621621623,0.5945945945945946,0.5945945945945946,36,29,8,1,74
consistency_score_file_mean,low_is_c4,0.7313912000973761,0.7047619047619048,0.5441176470588235,1.0,0.16216216216216217,0.581081081081081,0.5810810810810811,37,31,6,0,74
consistency_score_file_mean,low_is_c4,0.6599129931805985,0.7032967032967032,0.5925925925925926,0.8648648648648649,0.40540540540540543,0.6351351351351351,0.6351351351351352,32,22,15,5,74
consistency_score_file_mean,low_is_c4,0.6929216106592622,0.7000000000000001,0.5555555555555556,0.9459459459459459,0.24324324324324326,0.5945945945945946,0.5945945945945946,35,28,9,2,74
consistency_score_file_mean,low_is_c4,0.7166265589310054,0.6990291262135921,0.5454545454545454,0.972972972972973,0.1891891891891892,0.581081081081081,0.5810810810810811,36,30,7,1,74
consistency_score_file_mean,low_is_c4,0.7333173392692823,0.6981132075471698,0.5362318840579711,1.0,0.13513513513513514,0.5675675675675675,0.5675675675675675,37,32,5,0,74
consistency_score_file_mean,low_is_c4,0.6608223357261573,0.6956521739130435,0.5818181818181818,0.8648648648648649,0.3783783783783784,0.6216216216216216,0.6216216216216217,32,23,14,5,74
consistency_score_file_mean,low_is_c4,0.6760717766403207,0.6947368421052632,0.5689655172413793,0.8918918918918919,0.32432432432432434,0.6081081081081081,0.6081081081081081,33,25,12,4,74
consistency_score_file_mean,low_is_c4,0.7046357429269561,0.6930693069306929,0.546875,0.9459459459459459,0.21621621621621623,0.581081081081081,0.5810810810810811,35,29,8,2,74
