file,sample,label,y,n_outputs,n_entries,alignment_score_high_rate_0_1,alignment_score_high_rate_0_2,alignment_score_high_rate_0_3,alignment_score_high_rate_0_4,alignment_score_high_rate_0_5,alignment_score_high_rate_0_6,alignment_score_high_rate_0_7,alignment_score_high_rate_0_8,alignment_score_high_rate_0_9,alignment_score_low_rate_0_1,alignment_score_low_rate_0_2,alignment_score_low_rate_0_3,alignment_score_low_rate_0_4,alignment_score_low_rate_0_5,alignment_score_low_rate_0_6,alignment_score_low_rate_0_7,alignment_score_low_rate_0_8,alignment_score_low_rate_0_9,alignment_score_max,alignment_score_mean,alignment_score_min,alignment_score_q10,alignment_score_q25,alignment_score_q50,alignment_score_q75,alignment_score_q90,alignment_score_std,entry_alignment_high_rate_0_1,entry_alignment_high_rate_0_2,entry_alignment_high_rate_0_3,entry_alignment_high_rate_0_4,entry_alignment_high_rate_0_5,entry_alignment_high_rate_0_6,entry_alignment_high_rate_0_7,entry_alignment_high_rate_0_8,entry_alignment_high_rate_0_9,entry_alignment_low_rate_0_1,entry_alignment_low_rate_0_2,entry_alignment_low_rate_0_3,entry_alignment_low_rate_0_4,entry_alignment_low_rate_0_5,entry_alignment_low_rate_0_6,entry_alignment_low_rate_0_7,entry_alignment_low_rate_0_8,entry_alignment_low_rate_0_9,entry_alignment_max,entry_alignment_mean,entry_alignment_min,entry_alignment_q10,entry_alignment_q25,entry_alignment_q50,entry_alignment_q75,entry_alignment_q90,entry_alignment_std,mismatch_score_high_rate_0_1,mismatch_score_high_rate_0_2,mismatch_score_high_rate_0_3,mismatch_score_high_rate_0_4,mismatch_score_high_rate_0_5,mismatch_score_high_rate_0_6,mismatch_score_high_rate_0_7,mismatch_score_high_rate_0_8,mismatch_score_high_rate_0_9,mismatch_score_low_rate_0_1,mismatch_score_low_rate_0_2,mismatch_score_low_rate_0_3,mismatch_score_low_rate_0_4,mismatch_score_low_rate_0_5,mismatch_score_low_rate_0_6,mismatch_score_low_rate_0_7,mismatch_score_low_rate_0_8,mismatch_score_low_rate_0_9,mismatch_score_max,mismatch_score_mean,mismatch_score_min,mismatch_score_q10,mismatch_score_q25,mismatch_score_q50,mismatch_score_q75,mismatch_score_q90,mismatch_score_std
ChatDev_ProgramDev2_GPT4o_0_scored.json,ChatDev_ProgramDev2_GPT4o_0,0.0,0,94,14,0.6808510638297872,0.648936170212766,0.6276595744680851,0.6170212765957447,0.6063829787234043,0.5957446808510638,0.574468085106383,0.5638297872340425,0.5425531914893617,0.3191489361702128,0.35106382978723405,0.3723404255319149,0.3829787234042553,0.39361702127659576,0.40425531914893614,0.425531914893617,0.43617021276595747,0.4574468085106383,1.0,0.6052642703627921,0.0,2.902312105056987e-06,0.01556826264987864,0.952574131151493,0.9990243476011063,0.9999766504960068,0.4525230908450591,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.7857142857142857,0.5714285714285714,0.35714285714285715,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.6428571428571429,0.7142857142857143,1.0,0.7171698485628495,0.028768701656536732,0.4802411136107075,0.618109781980786,0.7412712557160601,0.9563518116151077,0.9999997804149374,0.25724807335028055,0.4574468085106383,0.43617021276595747,0.425531914893617,0.40425531914893614,0.40425531914893614,0.3829787234042553,0.3723404255319149,0.35106382978723405,0.3191489361702128,0.5425531914893617,0.5638297872340425,0.574468085106383,0.5957446808510638,0.5957446808510638,0.6170212765957447,0.6276595744680851,0.648936170212766,0.6808510638297872,0.999999970984299,0.3947356919354849,1.3440409951135022e-08,2.327216288815249e-05,0.000975666130271328,0.04742588035042488,0.9844316853749678,0.9999970335225543,0.45252308040403366
ChatDev_ProgramDev2_GPT4o_13_scored.json,ChatDev_ProgramDev2_GPT4o_13,0.0,0,106,13,0.7264150943396226,0.7075471698113207,0.6886792452830188,0.6886792452830188,0.6509433962264151,0.6415094339622641,0.6037735849056604,0.5943396226415094,0.5471698113207547,0.27358490566037735,0.29245283018867924,0.3113207547169811,0.3113207547169811,0.3490566037735849,0.3584905660377358,0.39622641509433965,0.4056603773584906,0.4528301886792453,1.0,0.644510373063807,2.061153622438558e-09,1.3415700709644038e-05,0.01923400033878119,0.976350758549952,0.9997387086016625,0.9999883751379692,0.4359094842441628,1.0,1.0,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.46153846153846156,0.3076923076923077,0.3076923076923077,0.0,0.0,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.5384615384615384,0.6923076923076923,0.6923076923076923,1.0,0.6829378281090334,0.2011859524597545,0.35506072547194034,0.604216287101285,0.6583380164250706,0.9855369935384072,0.999956488681429,0.2569514180831983,0.4528301886792453,0.4056603773584906,0.39622641509433965,0.3584905660377358,0.3490566037735849,0.3113207547169811,0.3113207547169811,0.29245283018867924,0.27358490566037735,0.5471698113207547,0.5943396226415094,0.6037735849056604,0.6415094339622641,0.6509433962264151,0.6886792452830188,0.6886792452830188,0.7075471698113207,0.7264150943396226,0.9999999519886499,0.35548958630444605,9.237449661970594e-09,1.1568555659672165e-05,0.0002611902975925828,0.023649221354528717,0.9807659652672206,0.9999864619732599,0.43590947722395024
ChatDev_ProgramDev2_GPT4o_14_scored.json,ChatDev_ProgramDev2_GPT4o_14,0.0,0,113,13,0.8761061946902655,0.8584070796460177,0.8230088495575221,0.8141592920353983,0.8053097345132744,0.7876106194690266,0.7699115044247787,0.7699115044247787,0.7699115044247787,0.12389380530973451,0.1415929203539823,0.17699115044247787,0.18584070796460178,0.19469026548672566,0.21238938053097345,0.23008849557522124,0.23008849557522124,0.23008849557522124,1.0,0.8045292161767245,1.370956471489639e-06,0.03732687913383872,0.9241418093463297,0.9988304769113288,0.9999545172243738,0.9999980459227287,0.3574323386868908,1.0,1.0,1.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.6923076923076923,0.5384615384615384,0.38461538461538464,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.46153846153846156,0.6153846153846154,1.0,0.7943443273780082,0.33325415270580405,0.44276279759289255,0.6736682359440401,0.8809397007826101,0.9999259564276447,0.9999994853475693,0.2223911964712268,0.23008849557522124,0.23008849557522124,0.23008849557522124,0.21238938053097345,0.20353982300884957,0.18584070796460178,0.17699115044247787,0.1415929203539823,0.12389380530973451,0.7699115044247787,0.7699115044247787,0.7699115044247787,0.7876106194690266,0.7964601769911505,0.8141592920353983,0.8230088495575221,0.8584070796460177,0.8761061946902655,0.9999986091166121,0.195470744524452,3.2241867372567335e-08,1.8603393828019845e-06,4.539785156619626e-05,0.0011695103074966034,0.07585819714278708,0.962673070427456,0.35743233572280464
ChatDev_ProgramDev2_GPT4o_16_scored.json,ChatDev_ProgramDev2_GPT4o_16,0.0,0,100,13,0.87,0.83,0.78,0.76,0.76,0.73,0.72,0.72,0.7,0.13,0.17,0.22,0.24,0.24,0.27,0.28,0.28,0.3,1.0,0.7623978721143767,6.47594599989589e-07,0.04641596484897588,0.546632335986118,0.9959299214990776,0.9999545150354247,0.9999925694403535,0.3783120477191249,1.0,1.0,1.0,1.0,0.9230769230769231,0.8461538461538461,0.6923076923076923,0.5384615384615384,0.38461538461538464,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.46153846153846156,0.6153846153846154,1.0,0.8067084004075787,0.45185301683449164,0.5636554268824913,0.6666524102442103,0.8243649667489695,0.9997330732484997,0.9999777838953148,0.1837861771972322,0.3,0.28,0.28,0.27,0.25,0.24,0.22,0.17,0.13,0.7,0.72,0.72,0.73,0.75,0.76,0.78,0.83,0.87,0.9999993241942207,0.2376020909165945,1.522997974471263e-08,7.390569383498026e-06,4.539785156619626e-05,0.004070137939983506,0.4533676413689768,0.9535839842383641,0.37831205037628163
ChatDev_ProgramDev2_GPT4o_1_scored.json,ChatDev_ProgramDev2_GPT4o_1,0.0,0,152,18,0.6973684210526315,0.6776315789473685,0.6578947368421053,0.625,0.618421052631579,0.5986842105263158,0.5789473684210527,0.5526315789473685,0.5131578947368421,0.3026315789473684,0.3223684210526316,0.34210526315789475,0.375,0.3815789473684211,0.40131578947368424,0.42105263157894735,0.4473684210526316,0.4868421052631579,1.0,0.6114553973375695,3.2241867372567335e-08,0.0001313977392926171,0.020748932189876997,0.9462437003067665,0.9998624236436033,0.9999970811801202,0.44341172529757666,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.3888888888888889,0.2777777777777778,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.6111111111111112,0.7222222222222222,1.0,0.6865596633545472,0.3162313941874889,0.3976939279853161,0.4300143606081165,0.7443407262026636,0.9471294753902699,0.9999919160665451,0.24281905081195232,0.4868421052631579,0.4473684210526316,0.42105263157894735,0.40131578947368424,0.3815789473684211,0.375,0.34210526315789475,0.3223684210526316,0.3026315789473684,0.5131578947368421,0.5526315789473685,0.5789473684210527,0.5986842105263158,0.618421052631579,0.625,0.6578947368421053,0.6776315789473685,0.6973684210526315,0.9999999356002148,0.3885445633711111,3.2241867372567335e-08,2.902312105056987e-06,0.00013753872851000136,0.05375626790761298,0.9792510167251596,0.9998685391762204,0.44341171929509915
ChatDev_ProgramDev2_GPT4o_20_scored.json,ChatDev_ProgramDev2_GPT4o_20,0.0,0,112,14,0.75,0.6964285714285714,0.6964285714285714,0.6785714285714286,0.6785714285714286,0.6696428571428571,0.6428571428571429,0.6339285714285714,0.625,0.25,0.30357142857142855,0.30357142857142855,0.32142857142857145,0.32142857142857145,0.33035714285714285,0.35714285714285715,0.36607142857142855,0.375,1.0,0.6743759459640462,2.1024318473456359e-07,0.00033320253301982424,0.11323952228813511,0.9902177329874415,0.999990366977394,0.9999995739066647,0.4349932714921949,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5,1.0,0.7768296829204844,0.16122412765223323,0.5173542975444682,0.5688677507930541,0.9210056665172499,0.9999987656995992,0.9999995736184017,0.2606077108172577,0.375,0.36607142857142855,0.35714285714285715,0.33035714285714285,0.32142857142857145,0.32142857142857145,0.30357142857142855,0.30357142857142855,0.25,0.625,0.6339285714285714,0.6428571428571429,0.6696428571428571,0.6785714285714286,0.6785714285714286,0.6964285714285714,0.6964285714285714,0.75,0.9999997214122732,0.3256240141718363,3.2241867372567335e-08,4.039424372517642e-07,9.569806656872395e-06,0.009782214671109572,0.8867604251647616,0.9996667670321597,0.43499326803730154
ChatDev_ProgramDev2_GPT4o_22_scored.json,ChatDev_ProgramDev2_GPT4o_22,0.0,0,106,14,0.8773584905660378,0.8584905660377359,0.8584905660377359,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.12264150943396226,0.14150943396226415,0.14150943396226415,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.1509433962264151,1.0,0.8552010055368514,7.734421907141565e-08,0.06008664167060858,0.9968273373953366,0.9999784779666228,0.9999985259092897,0.9999997289069544,0.3397329234633131,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6428571428571429,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.35714285714285715,1.0,0.8223933481283763,0.19562103028477407,0.2868287690257809,0.8097681542253516,0.9997760457375657,0.9999921830758147,0.9999999120218213,0.289491068421325,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.14150943396226415,0.14150943396226415,0.12264150943396226,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8490566037735849,0.8584905660377359,0.8584905660377359,0.8773584905660378,0.999999833453042,0.1447989453585997,1.7257827987960214e-08,1.8553913626159784e-07,1.370956471489639e-06,2.1444937927240387e-05,0.0031726832512090877,0.9399132953033227,0.33973291935649513
ChatDev_ProgramDev2_GPT4o_23_scored.json,ChatDev_ProgramDev2_GPT4o_23,0.0,0,83,13,0.891566265060241,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.8433734939759037,0.8313253012048193,0.8192771084337349,0.7831325301204819,0.10843373493975904,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.1566265060240964,0.1686746987951807,0.18072289156626506,0.21686746987951808,1.0,0.8450093164256497,1.4449802461092448e-07,0.07767875788263605,0.9241417965792256,0.9975274142125298,0.9999144759883642,0.9999969041716712,0.31774818099330543,1.0,1.0,1.0,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.6153846153846154,0.46153846153846156,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.5384615384615384,1.0,0.810565736771407,0.3684150256429452,0.5815388284173002,0.7426307364864252,0.8488620959538274,0.9706877234856695,0.9993300149766096,0.18414053152139873,0.21686746987951808,0.18072289156626506,0.1686746987951807,0.1566265060240964,0.13253012048192772,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.10843373493975904,0.7831325301204819,0.8192771084337349,0.8313253012048193,0.8433734939759037,0.8674698795180723,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.891566265060241,0.9999998334541624,0.15499064985689867,7.194133030325383e-09,3.0671774752560146e-06,8.547429283479549e-05,0.002472623024627213,0.07585818400450803,0.9223212342837246,0.3177481789499584
ChatDev_ProgramDev2_GPT4o_24_scored.json,ChatDev_ProgramDev2_GPT4o_24,0.0,0,113,13,0.8584070796460177,0.8230088495575221,0.7876106194690266,0.7522123893805309,0.7522123893805309,0.7345132743362832,0.6902654867256637,0.6460176991150443,0.584070796460177,0.1415929203539823,0.17699115044247787,0.21238938053097345,0.24778761061946902,0.24778761061946902,0.26548672566371684,0.30973451327433627,0.35398230088495575,0.415929203539823,0.9999997122937148,0.7311230021421341,6.47594599989589e-07,0.008167006315448483,0.5000000088255087,0.9770226403918598,0.9975274217133745,0.9999416477860377,0.3730568867595167,1.0,1.0,1.0,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.6923076923076923,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.6153846153846154,0.6153846153846154,0.9999996045149278,0.7791168223550134,0.3231221676957725,0.5699665210725842,0.6807387668929131,0.7324095548993401,0.9999976635469174,0.9999995581745668,0.2041932128981764,0.415929203539823,0.35398230088495575,0.30973451327433627,0.26548672566371684,0.25663716814159293,0.24778761061946902,0.21238938053097345,0.17699115044247787,0.1415929203539823,0.584070796460177,0.6460176991150443,0.6902654867256637,0.7345132743362832,0.7433628318584071,0.7522123893805309,0.7876106194690266,0.8230088495575221,0.8584070796460177,0.999999311247522,0.2688769747638298,2.382369667501818e-07,5.829127258796956e-05,0.002472623024627213,0.022977371676246788,0.5000000664042367,0.991832931059702,0.37305687966476647
ChatDev_ProgramDev2_GPT4o_25_scored.json,ChatDev_ProgramDev2_GPT4o_25,0.0,0,115,13,0.8260869565217391,0.8173913043478261,0.808695652173913,0.808695652173913,0.808695652173913,0.7913043478260869,0.7739130434782608,0.7565217391304347,0.7043478260869566,0.17391304347826086,0.1826086956521739,0.19130434782608696,0.19130434782608696,0.19130434782608696,0.20869565217391303,0.22608695652173913,0.24347826086956523,0.2956521739130435,0.9999997067394043,0.783360131596843,0.0,0.0008936063249056975,0.817574448989867,0.9968273530876625,0.9999545163790796,0.9999886543908698,0.3793102339470024,1.0,1.0,1.0,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.0,0.0,0.0,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.6153846153846154,0.9999997067394043,0.7743480172108513,0.3322764174395268,0.45898441724870276,0.642305754373259,0.8791766974909679,0.9999526502702918,0.9999994118126854,0.22552682036955068,0.2956521739130435,0.24347826086956523,0.22608695652173913,0.20869565217391303,0.19130434782608696,0.19130434782608696,0.19130434782608696,0.1826086956521739,0.17391304347826086,0.7043478260869566,0.7565217391304347,0.7739130434782608,0.7913043478260869,0.808695652173913,0.808695652173913,0.808695652173913,0.8173913043478261,0.8260869565217391,0.9999999715416912,0.21663982698473302,1.8553913626159784e-07,1.1280841993793163e-05,4.539785156619626e-05,0.0031726831078774057,0.18242552554702196,0.9991063388547843,0.37931022687610233
