score_key,direction,threshold,f1,precision,recall,specificity,accuracy,balanced_accuracy,tp,fp,tn,fn,n
entry_max,low_is_2.6,0.915552273197846,0.6666666666666667,0.5423728813559322,0.8648648648648649,0.2702702702702703,0.5675675675675675,0.5675675675675675,32,27,10,5,74
entry_max,low_is_2.6,0.9647417292368834,0.6666666666666666,0.532258064516129,0.8918918918918919,0.21621621621621623,0.5540540540540541,0.5540540540540541,33,29,8,4,74
entry_max,low_is_2.6,0.9977190387029387,0.6666666666666666,0.5070422535211268,0.972972972972973,0.05405405405405406,0.5135135135135135,0.5135135135135136,36,35,2,1,74
entry_max,high_is_2.6,0.315188977485587,0.6666666666666666,0.5,1.0,0.0,0.5,0.5,37,37,0,0,74
entry_max,low_is_2.6,0.9999707452188019,0.6666666666666666,0.5,1.0,0.0,0.5,0.5,37,37,0,0,74
entry_max,low_is_2.6,0.9880346333367462,0.6666666666666665,0.5147058823529411,0.9459459459459459,0.10810810810810811,0.527027027027027,0.527027027027027,35,33,4,2,74
entry_max,high_is_2.6,0.44605041489322367,0.6605504587155964,0.5,0.972972972972973,0.02702702702702703,0.5,0.5,36,36,1,1,74
entry_max,low_is_2.6,0.9995864076009553,0.6605504587155964,0.5,0.972972972972973,0.02702702702702703,0.5,0.5,36,36,1,1,74
entry_max,low_is_2.6,0.9917595422260335,0.660377358490566,0.5072463768115942,0.9459459459459459,0.08108108108108109,0.5135135135135135,0.5135135135135135,35,34,3,2,74
entry_max,low_is_2.6,0.9679637362251319,0.6599999999999999,0.5238095238095238,0.8918918918918919,0.1891891891891892,0.5405405405405406,0.5405405405405406,33,30,7,4,74
entry_max,low_is_2.6,0.9284856818923479,0.6597938144329898,0.5333333333333333,0.8648648648648649,0.24324324324324326,0.5540540540540541,0.5540540540540541,32,28,9,5,74
entry_max,high_is_2.6,0.35353266291854657,0.6545454545454545,0.4931506849315068,0.972972972972973,0.0,0.4864864864864865,0.4864864864864865,36,37,0,1,74
entry_max,low_is_2.6,0.9998176476661826,0.6545454545454545,0.4931506849315068,0.972972972972973,0.0,0.4864864864864865,0.4864864864864865,36,37,0,1,74
entry_max,high_is_2.6,0.5206887643160644,0.6542056074766355,0.5,0.9459459459459459,0.05405405405405406,0.5,0.5,35,35,2,2,74
entry_max,low_is_2.6,0.9952179793282976,0.6542056074766355,0.5,0.9459459459459459,0.05405405405405406,0.5,0.5,35,35,2,2,74
entry_max,low_is_2.6,0.9810338645652478,0.6538461538461539,0.5074626865671642,0.918918918918919,0.10810810810810811,0.5135135135135135,0.5135135135135136,34,33,4,3,74
entry_max,low_is_2.6,0.9705870529405882,0.6534653465346535,0.515625,0.8918918918918919,0.16216216216216217,0.527027027027027,0.527027027027027,33,31,6,4,74
entry_max,high_is_2.6,0.6504578694113707,0.6530612244897959,0.5245901639344263,0.8648648648648649,0.21621621621621623,0.5405405405405406,0.5405405405405406,32,29,8,5,74
entry_max,low_is_2.6,0.9474746764338862,0.6530612244897959,0.5245901639344263,0.8648648648648649,0.21621621621621623,0.5405405405405406,0.5405405405405406,32,29,8,5,74
entry_max,low_is_2.6,0.9022637378843169,0.6526315789473685,0.5344827586206896,0.8378378378378378,0.2702702702702703,0.5540540540540541,0.5540540540540541,31,27,10,6,74
entry_max,high_is_2.6,0.5010328037246647,0.6481481481481483,0.49295774647887325,0.9459459459459459,0.02702702702702703,0.4864864864864865,0.4864864864864865,35,36,1,2,74
entry_max,high_is_2.6,0.5493681104982873,0.6476190476190476,0.5,0.918918918918919,0.08108108108108109,0.5,0.5,34,34,3,3,74
entry_max,low_is_2.6,0.9725596792707791,0.6470588235294117,0.5076923076923077,0.8918918918918919,0.13513513513513514,0.5135135135135135,0.5135135135135135,33,32,5,4,74
entry_max,high_is_2.6,0.6369882285135529,0.6464646464646465,0.5161290322580645,0.8648648648648649,0.1891891891891892,0.527027027027027,0.5270270270270271,32,30,7,5,74
entry_max,low_is_2.6,0.8775377974189383,0.6451612903225806,0.5357142857142857,0.8108108108108109,0.2972972972972973,0.5540540540540541,0.5540540540540541,30,26,11,7,74
entry_max,low_is_2.6,0.8167579480751799,0.6444444444444444,0.5471698113207547,0.7837837837837838,0.35135135135135137,0.5675675675675675,0.5675675675675675,29,24,13,8,74
entry_max,low_is_2.6,0.788388923143772,0.6428571428571429,0.574468085106383,0.7297297297297297,0.4594594594594595,0.5945945945945946,0.5945945945945946,27,20,17,10,74
entry_max,high_is_2.6,0.5438416794785317,0.6415094339622641,0.4927536231884058,0.918918918918919,0.05405405405405406,0.4864864864864865,0.4864864864864865,34,35,2,3,74
entry_max,low_is_2.6,0.9744497579358,0.6407766990291263,0.5,0.8918918918918919,0.10810810810810811,0.5,0.5,33,33,4,4,74
entry_max,high_is_2.6,0.6343864012619769,0.64,0.5079365079365079,0.8648648648648649,0.16216216216216217,0.5135135135135135,0.5135135135135136,32,31,6,5,74
entry_max,high_is_2.6,0.6630252260924485,0.6391752577319588,0.5166666666666667,0.8378378378378378,0.21621621621621623,0.527027027027027,0.527027027027027,31,29,8,6,74
entry_max,high_is_2.6,0.6690375931909331,0.6382978723404256,0.5263157894736842,0.8108108108108109,0.2702702702702703,0.5405405405405406,0.5405405405405406,30,27,10,7,74
entry_max,low_is_2.6,0.8960002323850822,0.6382978723404256,0.5263157894736842,0.8108108108108109,0.2702702702702703,0.5405405405405406,0.5405405405405406,30,27,10,7,74
entry_max,low_is_2.6,0.8289019942723224,0.6373626373626374,0.5370370370370371,0.7837837837837838,0.32432432432432434,0.5540540540540541,0.5540540540540541,29,25,12,8,74
entry_max,low_is_2.6,0.7979284353095198,0.6352941176470588,0.5625,0.7297297297297297,0.43243243243243246,0.581081081081081,0.5810810810810811,27,21,16,10,74
entry_max,high_is_2.6,0.5694926452913666,0.6346153846153846,0.4925373134328358,0.8918918918918919,0.08108108108108109,0.4864864864864865,0.4864864864864865,33,34,3,4,74
entry_max,low_is_2.6,0.7751328656669415,0.6341463414634145,0.5777777777777777,0.7027027027027027,0.4864864864864865,0.5945945945945946,0.5945945945945946,26,19,18,11,74
entry_max,high_is_2.6,0.6329439597183818,0.6336633663366337,0.5,0.8648648648648649,0.13513513513513514,0.5,0.5,32,32,5,5,74
entry_max,high_is_2.6,0.6672346631517733,0.631578947368421,0.5172413793103449,0.8108108108108109,0.24324324324324326,0.527027027027027,0.5270270270270271,30,28,9,7,74
entry_max,high_is_2.6,0.6748000687718346,0.6304347826086956,0.5272727272727272,0.7837837837837838,0.2972972972972973,0.5405405405405406,0.5405405405405406,29,26,11,8,74
entry_max,low_is_2.6,0.850397378956113,0.6304347826086956,0.5272727272727272,0.7837837837837838,0.2972972972972973,0.5405405405405406,0.5405405405405406,29,26,11,8,74
entry_max,low_is_2.6,0.8118361208453126,0.6292134831460674,0.5384615384615384,0.7567567567567568,0.35135135135135137,0.5540540540540541,0.5540540540540541,28,24,13,9,74
entry_max,low_is_2.6,0.8015964697602642,0.6279069767441859,0.5510204081632653,0.7297297297297297,0.40540540540540543,0.5675675675675675,0.5675675675675675,27,22,15,10,74
entry_max,high_is_2.6,0.6273683792862055,0.6274509803921569,0.49230769230769234,0.8648648648648649,0.10810810810810811,0.4864864864864865,0.4864864864864865,32,33,4,5,74
entry_max,low_is_2.6,0.7776482288263644,0.6265060240963856,0.5652173913043478,0.7027027027027027,0.4594594594594595,0.581081081081081,0.5810810810810811,26,20,17,11,74
entry_max,high_is_2.6,0.6656935675783844,0.6249999999999999,0.5084745762711864,0.8108108108108109,0.21621621621621623,0.5135135135135135,0.5135135135135136,30,29,8,7,74
entry_max,high_is_2.6,0.6718493714547051,0.6236559139784947,0.5178571428571429,0.7837837837837838,0.2702702702702703,0.527027027027027,0.527027027027027,29,27,10,8,74
entry_max,high_is_2.6,0.6781676613688186,0.6222222222222221,0.5283018867924528,0.7567567567567568,0.32432432432432434,0.5405405405405406,0.5405405405405406,28,25,12,9,74
entry_max,high_is_2.6,0.6057739276177293,0.6213592233009709,0.48484848484848486,0.8648648648648649,0.08108108108108109,0.47297297297297297,0.472972972972973,32,34,3,5,74
entry_max,low_is_2.6,0.8047449379950699,0.6206896551724138,0.54,0.7297297297297297,0.3783783783783784,0.5540540540540541,0.5540540540540541,27,23,14,10,74
entry_max,low_is_2.6,0.7729666294816955,0.617283950617284,0.5681818181818182,0.6756756756756757,0.4864864864864865,0.581081081081081,0.5810810810810811,25,19,18,12,74
entry_max,high_is_2.6,0.67656539636229,0.6153846153846154,0.5185185185185185,0.7567567567567568,0.2972972972972973,0.527027027027027,0.5270270270270271,28,26,11,9,74
entry_max,low_is_2.6,0.8071477223425698,0.6136363636363636,0.5294117647058824,0.7297297297297297,0.35135135135135137,0.5405405405405406,0.5405405405405406,27,24,13,10,74
entry_max,high_is_2.6,0.6801245665254836,0.6067415730337079,0.5192307692307693,0.7297297297297297,0.32432432432432434,0.527027027027027,0.527027027027027,27,25,12,10,74
entry_max,low_is_2.6,0.7700877714494319,0.6,0.5581395348837209,0.6486486486486487,0.4864864864864865,0.5675675675675675,0.5675675675675675,24,19,18,13,74
entry_max,high_is_2.6,0.6815991247453266,0.5909090909090909,0.5098039215686274,0.7027027027027027,0.32432432432432434,0.5135135135135135,0.5135135135135136,26,25,12,11,74
entry_max,low_is_2.6,0.768799610895497,0.5822784810126581,0.5476190476190477,0.6216216216216216,0.4864864864864865,0.5540540540540541,0.5540540540540541,23,19,18,14,74
entry_max,high_is_2.6,0.6849298983033063,0.5813953488372092,0.5102040816326531,0.6756756756756757,0.35135135135135137,0.5135135135135135,0.5135135135135135,25,24,13,12,74
entry_max,high_is_2.6,0.6830876086763789,0.5747126436781609,0.5,0.6756756756756757,0.32432432432432434,0.5,0.5,25,25,12,12,74
entry_max,high_is_2.6,0.6863773212684363,0.5647058823529412,0.5,0.6486486486486487,0.35135135135135137,0.5,0.5,24,24,13,13,74
entry_max,low_is_2.6,0.76679170070303,0.5641025641025641,0.5365853658536586,0.5945945945945946,0.4864864864864865,0.5405405405405406,0.5405405405405406,22,19,18,15,74
entry_max,low_is_2.6,0.7603198713270412,0.5599999999999999,0.5526315789473685,0.5675675675675675,0.5405405405405406,0.5540540540540541,0.5540540540540541,21,17,20,16,74
entry_max,low_is_2.6,0.761587929139792,0.5526315789473685,0.5384615384615384,0.5675675675675675,0.5135135135135135,0.5405405405405406,0.5405405405405406,21,18,19,16,74
entry_max,low_is_2.6,0.742103770933382,0.547945205479452,0.5555555555555556,0.5405405405405406,0.5675675675675675,0.5540540540540541,0.5540540540540541,20,16,21,17,74
entry_max,high_is_2.6,0.6893069427167885,0.5476190476190476,0.48936170212765956,0.6216216216216216,0.35135135135135137,0.4864864864864865,0.4864864864864865,23,24,13,14,74
entry_max,low_is_2.6,0.763386905058293,0.5454545454545455,0.525,0.5675675675675675,0.4864864864864865,0.527027027027027,0.527027027027027,21,19,18,16,74
entry_max,low_is_2.6,0.7541615000589238,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5405405405405406,20,17,20,17,74
entry_max,high_is_2.6,0.6951736667895976,0.5301204819277109,0.4782608695652174,0.5945945945945946,0.35135135135135137,0.47297297297297297,0.472972972972973,22,24,13,15,74
