score_key,eta2,f1,accuracy,precision,recall,specificity,balanced_accuracy,direction,threshold,tp,fp,tn,fn,n,c26_mean,c00_mean
score_max,0.027342547967536813,0.7045454545454545,0.6486486486486487,0.6078431372549019,0.8378378378378378,0.4594594594594595,0.6486486486486487,high_is_2.6,0.9999997884847944,31,20,17,6,74,0.9999997163144371,0.9999992286672703
score_q50,0.0022635650405803667,0.7010309278350515,0.6081081081081081,0.5666666666666667,0.918918918918919,0.2972972972972973,0.6081081081081081,high_is_2.6,2.949082916006672e-05,34,26,11,3,74,0.009260924467793941,0.011445089141412672
score_q25,0.002423525999709246,0.6990291262135921,0.581081081081081,0.5454545454545454,0.972972972972973,0.1891891891891892,0.5810810810810811,high_is_2.6,1.4196297818740892e-06,36,30,7,1,74,0.0001548639893520225,0.00019427433497912186
entry_q50,0.0013605663672909844,0.6981132075471698,0.5675675675675675,0.5362318840579711,1.0,0.13513513513513514,0.5675675675675675,low_is_2.6,0.37334486052457266,37,32,5,0,74,0.16117037755754596,0.17056460047690628
score_q10,0.00799955013587363,0.6930693069306929,0.581081081081081,0.546875,0.9459459459459459,0.21621621621621623,0.5810810810810811,high_is_2.6,3.1893492560876754e-07,35,29,8,2,74,1.016528793316596e-05,7.134189562143619e-06
entry_std,0.027701588242034468,0.6923076923076924,0.5675675675675675,0.5373134328358209,0.972972972972973,0.16216216216216217,0.5675675675675675,low_is_2.6,0.3167443975088925,36,31,6,1,74,0.24408099510415363,0.2599245164057067
low_score_rate_0_1,0.0007899500331775562,0.6874999999999999,0.5945945945945946,0.559322033898305,0.8918918918918919,0.2972972972972973,0.5945945945945946,low_is_2.6,0.8276473369051371,33,26,11,4,74,0.7235422348607328,0.7297280648293056
high_score_rate_0_1,0.0007899500331775421,0.6874999999999999,0.5945945945945946,0.559322033898305,0.8918918918918919,0.2972972972972973,0.5945945945945946,high_is_2.6,0.1723526630948629,33,26,11,4,74,0.27645776513926723,0.2702719351706944
score_q75,0.0014112793398515487,0.6868686868686869,0.581081081081081,0.5483870967741935,0.918918918918919,0.24324324324324326,0.5810810810810811,high_is_2.6,0.004564585959799449,34,28,9,3,74,0.3556156429238932,0.3280286176740508
entry_q25,0.0015187720005883378,0.6851851851851851,0.5405405405405406,0.5211267605633803,1.0,0.08108108108108109,0.5405405405405406,low_is_2.6,0.14952533511432892,37,34,3,0,74,0.021239566380258593,0.02481967037248775
entry_q75,0.009521552584099816,0.6804123711340206,0.581081081081081,0.55,0.8918918918918919,0.2702702702702703,0.5810810810810811,low_is_2.6,0.5023379656270112,33,27,10,4,74,0.38408219206522126,0.4117205190905057
entry_min,0.0005072920699036483,0.6804123711340206,0.581081081081081,0.55,0.8918918918918919,0.2702702702702703,0.5810810810810811,high_is_2.6,1.8406754537905356e-08,33,27,10,4,74,7.844387210448458e-07,8.750903167169138e-07
entry_mean,0.010505816344541279,0.68,0.5675675675675675,0.5396825396825397,0.918918918918919,0.21621621621621623,0.5675675675675675,low_is_2.6,0.3255864997387159,34,29,8,3,74,0.2356671967243597,0.2508736921340788
low_score_rate_0_9,0.006689227881528664,0.68,0.5675675675675675,0.5396825396825397,0.918918918918919,0.21621621621621623,0.5675675675675675,low_is_2.6,0.9197408871321915,34,29,8,3,74,0.8336451347138899,0.846091725830152
high_score_rate_0_9,0.006689227881528605,0.68,0.5675675675675675,0.5396825396825397,0.918918918918919,0.21621621621621623,0.5675675675675675,high_is_2.6,0.08025911286780851,34,29,8,3,74,0.1663548652861101,0.15390827416984804
high_score_rate_0_8,0.0029833800907092243,0.6792452830188679,0.5405405405405406,0.5217391304347826,0.972972972972973,0.10810810810810811,0.5405405405405406,high_is_2.6,0.07117656082221199,36,33,4,1,74,0.17998366944536387,0.17098312891409426
low_score_rate_0_8,0.0029833800907091692,0.6792452830188679,0.5405405405405406,0.5217391304347826,0.972972972972973,0.10810810810810811,0.5405405405405406,low_is_2.6,0.9288234391777881,36,33,4,1,74,0.8200163305546362,0.8290168710859057
