score_key,eta2,f1,accuracy,precision,recall,specificity,balanced_accuracy,direction,threshold,tp,fp,tn,fn,n,c26_mean,c00_mean
alignment_score_min,0.02794826421038336,0.7272727272727273,0.6756756756756757,0.6274509803921569,0.8648648648648649,0.4864864864864865,0.6756756756756757,low_is_2.6,1.3600854187982896e-07,32,19,18,5,74,2.2038327182050827e-07,7.154711466427965e-07
alignment_score_q90,0.007998294705416537,0.7047619047619048,0.581081081081081,0.5441176470588235,1.0,0.16216216216216217,0.5810810810810811,low_is_2.6,0.9999997018854727,37,31,6,0,74,0.9999897711630732,0.9999928025064653
mismatch_score_max,0.027342547967536813,0.7045454545454545,0.6486486486486487,0.6078431372549019,0.8378378378378378,0.4594594594594595,0.6486486486486487,high_is_2.6,0.9999997884847944,31,20,17,6,74,0.9999997163144371,0.9999992286672703
mismatch_score_q50,0.0022635650405803667,0.7010309278350515,0.6081081081081081,0.5666666666666667,0.918918918918919,0.2972972972972973,0.6081081081081081,high_is_2.6,2.949082916006672e-05,34,26,11,3,74,0.009260924467793941,0.011445089141412672
alignment_score_q50,0.0022635529516349534,0.7010309278350515,0.6081081081081081,0.5666666666666667,0.918918918918919,0.2972972972972973,0.6081081081081081,low_is_2.6,0.9999704305613766,34,26,11,3,74,0.9907390423446155,0.9885548835232296
mismatch_score_q25,0.002423525999709246,0.6990291262135921,0.581081081081081,0.5454545454545454,0.972972972972973,0.1891891891891892,0.5810810810810811,high_is_2.6,1.4196297818740892e-06,36,30,7,1,74,0.0001548639893520225,0.00019427433497912186
alignment_score_q75,0.0024222040755679493,0.6990291262135921,0.581081081081081,0.5454545454545454,0.972972972972973,0.1891891891891892,0.5810810810810811,low_is_2.6,0.9999984630871257,36,30,7,1,74,0.9998450674235987,0.9998056694910172
entry_alignment_q50,0.0013605683401684164,0.6981132075471698,0.5675675675675675,0.5362318840579711,1.0,0.13513513513513514,0.5675675675675675,high_is_2.6,0.6266551029758367,37,32,5,0,74,0.8388295919479705,0.8294353621781402
mismatch_score_q10,0.00799955013587363,0.6930693069306929,0.581081081081081,0.546875,0.9459459459459459,0.21621621621621623,0.5810810810810811,high_is_2.6,3.1893492560876754e-07,35,29,8,2,74,1.016528793316596e-05,7.134189562143619e-06
entry_alignment_std,0.02770157800872322,0.6923076923076924,0.5675675675675675,0.5373134328358209,0.972972972972973,0.16216216216216217,0.5675675675675675,low_is_2.6,0.3167444052936774,36,31,6,1,74,0.24408099808402664,0.2599245167498328
alignment_score_high_rate_0_9,0.0007899500331775562,0.6874999999999999,0.5945945945945946,0.559322033898305,0.8918918918918919,0.2972972972972973,0.5945945945945946,low_is_2.6,0.8276473369051371,33,26,11,4,74,0.7235422348607328,0.7297280648293056
mismatch_score_low_rate_0_1,0.0007899500331775562,0.6874999999999999,0.5945945945945946,0.559322033898305,0.8918918918918919,0.2972972972972973,0.5945945945945946,low_is_2.6,0.8276473369051371,33,26,11,4,74,0.7235422348607328,0.7297280648293056
alignment_score_low_rate_0_9,0.0007899500331775421,0.6874999999999999,0.5945945945945946,0.559322033898305,0.8918918918918919,0.2972972972972973,0.5945945945945946,high_is_2.6,0.1723526630948629,33,26,11,4,74,0.27645776513926723,0.2702719351706944
mismatch_score_high_rate_0_1,0.0007899500331775421,0.6874999999999999,0.5945945945945946,0.559322033898305,0.8918918918918919,0.2972972972972973,0.5945945945945946,high_is_2.6,0.1723526630948629,33,26,11,4,74,0.27645776513926723,0.2702719351706944
mismatch_score_q75,0.0014112793398515487,0.6868686868686869,0.581081081081081,0.5483870967741935,0.918918918918919,0.24324324324324326,0.5810810810810811,high_is_2.6,0.004564585959799449,34,28,9,3,74,0.3556156429238932,0.3280286176740508
alignment_score_q25,0.001411278713845574,0.6868686868686869,0.581081081081081,0.5483870967741935,0.918918918918919,0.24324324324324326,0.5810810810810811,low_is_2.6,0.9954354443033231,34,28,9,3,74,0.6443843420947781,0.6719713620542539
entry_alignment_low_rate_0_2,0.037956990029491856,0.6857142857142857,0.5540540540540541,0.5294117647058824,0.972972972972973,0.13513513513513514,0.5540540540540541,low_is_2.6,0.10989010989010989,36,32,5,1,74,0.02214632214632215,0.043734531234531235
entry_alignment_high_rate_0_2,0.03795699002949163,0.6857142857142857,0.5540540540540541,0.5294117647058824,0.972972972972973,0.13513513513513514,0.5540540540540541,high_is_2.6,0.8901098901098901,36,32,5,1,74,0.9778536778536778,0.9562654687654688
entry_alignment_high_rate_0_6,0.013177789470351713,0.6851851851851851,0.5405405405405406,0.5211267605633803,1.0,0.08108108108108109,0.5405405405405406,high_is_2.6,0.5166666666666666,37,34,3,0,74,0.7436689436689436,0.7160211035211035
entry_alignment_low_rate_0_6,0.013177789470351661,0.6851851851851851,0.5405405405405406,0.5211267605633803,1.0,0.08108108108108109,0.5405405405405406,low_is_2.6,0.48333333333333334,37,34,3,0,74,0.25633105633105635,0.28397889647889646
entry_alignment_q75,0.00151878528117099,0.6851851851851851,0.5405405405405406,0.5211267605633803,1.0,0.08108108108108109,0.5405405405405406,high_is_2.6,0.8504746156237692,37,34,3,0,74,0.9787603891361456,0.9751802698973382
entry_alignment_q25,0.009521546591249111,0.6804123711340206,0.581081081081081,0.55,0.8918918918918919,0.2702702702702703,0.5810810810810811,high_is_2.6,0.4976619635554055,33,27,10,4,74,0.6159177647800781,0.5882794458249735
entry_alignment_mean,0.010505815503015761,0.68,0.5675675675675675,0.5396825396825397,0.918918918918919,0.21621621621621623,0.5675675675675675,high_is_2.6,0.67441346470607,34,29,8,3,74,0.7643327613041203,0.7491262663364041
