recall_floor,score_key,eta2,f1,f2,accuracy,precision,recall,specificity,balanced_accuracy,auc_best_direction,direction,threshold,tp,fp,tn,fn,c2_mean,c0_mean,c2_n,c0_n
0.8,consistency_score_file_q25,0.002419666155512647,0.759124087591241,0.8873720136518771,0.6292134831460674,0.611764705882353,1.0,0.10810810810810811,0.5540540540540541,0.5197505197505197,low_is_c2,0.70635,52,33,4,0,0.6333783653846153,0.6378027027027027,52,37
0.8,c0_vs_c2_lda_top_12_score,0.10701346348713471,0.7536231884057971,0.8843537414965987,0.6179775280898876,0.6046511627906976,1.0,0.08108108108108109,0.5405405405405406,0.6962058212058212,high_is_c2,-0.824048583647623,52,34,3,0,0.10824607913343251,-0.1521296247280634,52,37
0.8,c0_vs_c2_lda_top_8_score,0.10576062409554694,0.7536231884057971,0.8843537414965987,0.6179775280898876,0.6046511627906976,1.0,0.08108108108108109,0.5405405405405406,0.6936070686070686,high_is_c2,-0.7979876390572037,52,34,3,0,0.10263440226862869,-0.1442429437288795,52,37
0.8,c0_vs_c2_lda_top_3_score,0.03691917628656687,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.593035343035343,high_is_c2,-0.5220374936818675,52,35,2,0,0.04098905258398041,-0.05760623606397106,52,37
0.8,c0_vs_c2_lda_top_5_score,0.0361051747154198,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.58991683991684,high_is_c2,-0.5680954320430704,52,35,2,0,0.04417326280292642,-0.06208134231762537,52,37
0.8,high_low_gap_0_8_0_4,0.02049646726254263,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.5691268191268192,high_is_c2,0.10989010989010989,52,35,2,0,0.31701411333764273,0.29164851664851665,52,37
0.8,high_low_half_penalty_0_8_0_3,0.020014093982417398,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.5634095634095634,high_is_c2,0.2032967032967033,52,35,2,0,0.35095268136840535,0.3317606755106755,52,37
0.8,high_low_half_penalty_0_8_0_4,0.01934635686924493,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.558991683991684,high_is_c2,0.2032967032967033,52,35,2,0,0.34888519757015235,0.32936982311982316,52,37
0.8,high_low_half_penalty_0_8_0_2,0.01796124358070008,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.558991683991684,high_is_c2,0.2032967032967033,52,35,2,0,0.35095268136840535,0.3328001765501766,52,37
0.8,high_low_half_penalty_0_9_0_3,0.011676781010674602,0.7482014388489209,0.8813559322033899,0.6067415730337079,0.5977011494252874,1.0,0.05405405405405406,0.527027027027027,0.5574324324324325,high_is_c2,0.2032967032967033,52,35,2,0,0.31465926607329325,0.30271115896115897,52,37
