accuracy,auc_best_direction,balanced_accuracy,c0_mean,c0_n,c1_mean,c1_n,direction,eta2,f1,f2,fn,fp,precision,recall,recall_floor,score_key,specificity,threshold,tn,tp
0.6086956521739131,0.7753378378378378,0.6330236486486487,-0.30258484187944873,37,0.3498637234236705,32,high_is_c1,0.24028981875905164,0.6966292134831461,0.8378378378378377,1,26,0.543859649122807,0.96875,0.8,c0_vs_c1_lda_top_76_score,0.2972972972972973,-0.7334741065151053,11,31
0.5362318840579711,0.7609797297297297,0.5675675675675675,-0.2825621401293694,37,0.32671247452518304,32,high_is_c1,0.21758874876396425,0.6666666666666666,0.8333333333333334,0,32,0.5,1.0,0.8,c0_vs_c1_lda_top_50_score,0.13513513513513514,-0.9835125992961606,5,32
0.5217391304347826,0.558277027027027,0.5540540540540541,0.05944990627192881,37,-0.09573580537747224,32,low_is_c1,0.01718341602530502,0.6597938144329897,0.8290155440414508,0,33,0.49230769230769234,1.0,0.8,c2_repetition_symptom_score,0.10810810810810811,1.0136330838405996,4,32
0.5072463768115942,0.7449324324324325,0.5405405405405406,-0.2244280813653694,37,0.25949496907870806,32,high_is_c1,0.16760958673464138,0.653061224489796,0.8247422680412371,0,34,0.48484848484848486,1.0,0.8,c0_vs_c1_lda_top_30_score,0.08108108108108109,-1.0557693761707934,3,32
0.5072463768115942,0.6372466216216216,0.5405405405405406,-0.08612877194266791,37,0.09958639255870998,32,high_is_c1,0.0581699516296559,0.653061224489796,0.8247422680412371,0,34,0.48484848484848486,1.0,0.8,c0_vs_c1_lda_top_5_score,0.08108108108108109,-0.7579775221478298,3,32
0.5072463768115942,0.6309121621621622,0.5405405405405406,-0.088167674480289,37,0.10194387361783439,32,high_is_c1,0.05625612269654371,0.653061224489796,0.8247422680412371,0,34,0.48484848484848486,1.0,0.8,c0_vs_c1_lda_top_8_score,0.08108108108108109,-0.7790281768801974,3,32
0.5072463768115942,0.6271114864864865,0.5405405405405406,-0.07268239291906242,37,0.08403901681266589,32,high_is_c1,0.053702804917881534,0.653061224489796,0.8247422680412371,0,34,0.48484848484848486,1.0,0.8,c0_vs_c1_lda_top_3_score,0.08108108108108109,-0.580578504179182,3,32
0.4927536231884058,0.6262668918918919,0.527027027027027,0.4263930138930139,37,0.36571657509157507,32,low_is_c1,0.05011682800931245,0.6464646464646464,0.8205128205128204,0,35,0.47761194029850745,1.0,0.8,high_score_rate_0_8,0.05405405405405406,0.6538461538461539,2,32
0.4927536231884058,0.6123310810810811,0.527027027027027,0.3455887205887206,37,0.28753434065934064,32,low_is_c1,0.035593163600250485,0.6464646464646464,0.8205128205128204,0,35,0.47761194029850745,1.0,0.8,high_low_half_penalty_0_8_0_2,0.05405405405405406,0.5961538461538463,2,32
0.4927536231884058,0.5223817567567568,0.527027027027027,0.3056838431838432,37,0.32026098901098904,32,high_is_c1,0.002616801837244269,0.6464646464646464,0.8205128205128204,0,35,0.47761194029850745,1.0,0.8,low_score_rate_0_5,0.05405405405405406,0.07417582417582418,2,32
