accuracy,balanced_accuracy,direction,f1,f2,fn,fp,n,precision,recall,score_key,specificity,threshold,tn,tp
0.7391304347826086,0.7356418918918919,high_is_c1,0.7096774193548386,0.6962025316455696,10,8,69,0.7333333333333333,0.6875,c0_vs_c1_lda_top_30_score,0.7837837837837838,0.12696032906406485,29,22
0.6521739130434783,0.6672297297297297,high_is_c1,0.7000000000000001,0.7954545454545454,4,20,69,0.5833333333333334,0.875,c0_vs_c1_lda_top_76_score,0.4594594594594595,-0.2895157270061691,17,28
0.6376811594202898,0.6537162162162162,high_is_c1,0.691358024691358,0.7909604519774011,4,21,69,0.5714285714285714,0.875,c0_vs_c1_lda_top_50_score,0.43243243243243246,-0.37193850970935405,16,28
0.6086956521739131,0.6288006756756757,low_is_c1,0.6823529411764705,0.8011049723756907,3,24,69,0.5471698113207547,0.90625,high_low_gap_0_7_0_3,0.35135135135135137,0.4285714285714286,13,29
0.7101449275362319,0.7065033783783784,high_is_c1,0.6774193548387096,0.6645569620253164,11,9,69,0.7,0.65625,c0_vs_c1_lda_top_20_score,0.7567567567567568,0.14647901769833027,28,21
0.6086956521739131,0.6266891891891893,low_is_c1,0.674698795180723,0.7821229050279329,4,23,69,0.5490196078431373,0.875,high_low_half_penalty_0_7_0_2,0.3783783783783784,0.5370879120879122,14,28
0.5942028985507246,0.6152871621621622,low_is_c1,0.6744186046511628,0.7967032967032968,3,25,69,0.5370370370370371,0.90625,high_low_half_penalty_0_7_0_3,0.32432432432432434,0.5370879120879122,12,29
0.5942028985507246,0.6131756756756757,high_is_c1,0.6666666666666667,0.7777777777777777,4,24,69,0.5384615384615384,0.875,c0_vs_c1_lda_top_3_score,0.35135135135135137,-0.26630884450000564,13,28
0.5652173913043478,0.5903716216216216,low_is_c1,0.6666666666666667,0.8064516129032259,2,28,69,0.5172413793103449,0.9375,c2_repetition_symptom_score,0.24324324324324326,0.49694465231381235,9,30
0.6086956521739131,0.6245777027027027,low_is_c1,0.6666666666666666,0.7627118644067797,5,22,69,0.5510204081632653,0.84375,consistency_score_file_median,0.40540540540540543,0.7863218548329183,15,27
