auc_best_direction,c3_mean,c3_n,direction,eta_squared,mean_delta_c3_minus_rest,rest_mean,rest_n,score_key
0.8102310231023102,0.682103046097503,15,high_is_c3,0.133966765458377,0.7834054786862403,-0.10130243258873732,101,c3_lda_top_55_score
0.7910891089108911,0.6261715435163436,15,high_is_c3,0.12061524854514333,0.7191673173058987,-0.09299577378955508,101,c3_lda_top_40_score
0.7066006600660066,0.3849555352059555,15,high_is_c3,0.06275215584443788,0.4421271493454537,-0.057171614139498235,101,c3_lda_top_20_score
0.6927392739273928,0.30668391768516706,15,high_is_c3,0.052221463856237625,0.3522310341730631,-0.04554711648789605,101,c3_lda_top_8_score
0.668976897689769,1.4457019285642008,15,high_is_c3,0.04172834333310156,1.6604101357767056,-0.21470820721250478,101,c3_interpretable_symptom_score
0.6676567656765677,0.2981440781440782,15,low_is_c3,0.03936962394943883,-0.0842298323238917,0.38237391046796987,101,high_score_rate_0_8
0.6452145214521452,0.61908489297257,15,low_is_c3,0.0290775586494984,-0.0694523809334957,0.6885372739060657,101,consistency_score_file_median
0.6346534653465347,0.5747902964943917,15,low_is_c3,0.027613470613972485,-0.05128436636371214,0.6260746628581039,101,consistency_score_file_mean
0.6003300330033003,8.066666666666666,15,high_is_c3,0.024469072331300173,0.28448844884488445,7.782178217821782,101,num_phases
0.599009900990099,0.32058608058608057,15,high_is_c3,0.02334242742932579,0.05757380408370505,0.2630122765023755,101,low_score_rate_0_4
0.6247524752475248,0.6,15,high_is_c3,0.022487106885455656,0.15363036303630362,0.44636963696369636,101,phase_low05::DemandAnalysis
0.6135313531353135,0.4784112689109068,15,low_is_c3,0.019157872173035675,-0.09134075769730732,0.5697520266082141,101,phase_mean::DemandAnalysis
0.6079207920792079,0.42777777777777776,15,high_is_c3,0.01878792773971232,0.09128555712714126,0.3364922206506365,101,role_low05::Chief Product Officer
0.6046204620462046,0.3813919413919414,15,high_is_c3,0.01791126765283163,0.06210087767018457,0.3192910637217568,101,low_score_rate_0_5
0.6082508250825083,0.8306216465749338,15,high_is_c3,0.016619440535918434,0.9539812970563596,-0.12335965048142587,101,c3_low_tail_score
0.5419141914191419,0.13333333333333333,15,high_is_c3,0.01395308600322679,0.08382838283828382,0.04950495049504951,101,phase_count::TestModification
0.5996699669966996,0.5459599257574359,15,low_is_c3,0.013796025491164118,-0.051194530004927685,0.5971544557623636,101,role_mean::Chief Product Officer
0.5419141914191419,0.10185745769607077,15,high_is_c3,0.013272435560238875,0.06371273126875418,0.03814472642731659,101,phase_mean::TestModification
0.5620462046204621,0.12190178290385863,15,low_is_c3,0.012810557176110335,-0.0587796776520086,0.18068146055586723,101,consistency_score_file_q10
0.6016501650165016,0.5547659407581494,15,low_is_c3,0.012656962955905966,-0.056587852014234996,0.6113537927723844,101,role_mean::Programmer
0.5844884488448845,0.6251064664066805,15,high_is_c3,0.010951385774198175,0.12268378502862509,0.5024226813780555,101,phase_mean::Reflection
0.5844884488448845,0.6251064664066805,15,high_is_c3,0.010951385774198175,0.12268378502862509,0.5024226813780555,101,role_mean::Chief Executive Officer
0.5821782178217821,0.5555555555555556,15,high_is_c3,0.01037821982445868,0.11826182618261832,0.43729372937293726,101,phase_low05::CodeReviewComment
0.5821782178217821,0.5555555555555556,15,high_is_c3,0.01037821982445868,0.11826182618261832,0.43729372937293726,101,role_low05::Code Reviewer
0.5792079207920793,0.4305462212838275,15,low_is_c3,0.010037762736542258,-0.09054966149202776,0.5210958827758553,101,phase_mean::CodeReviewComment
0.5792079207920793,0.4305462212838275,15,low_is_c3,0.010037762736542258,-0.09054966149202776,0.5210958827758553,101,role_mean::Code Reviewer
0.5234323432343234,0.017309324402652742,15,high_is_c3,0.009815317814967339,0.012167940916716285,0.005141383485936458,101,phase_mean::CodeComplete
0.5234323432343234,0.06666666666666667,15,high_is_c3,0.009815317814967337,0.04686468646864686,0.019801980198019802,101,phase_low05::CodeComplete
0.5234323432343234,0.06666666666666667,15,high_is_c3,0.009815317814967337,0.04686468646864686,0.019801980198019802,101,phase_count::CodeComplete
0.5844884488448845,0.6666718216893585,15,high_is_c3,0.009437985826107064,0.7656824882768872,-0.09901066658752875,101,c3_code_review_failure_score
0.5924092409240924,0.689409470954923,15,high_is_c3,0.009295004436928529,0.038004216346075204,0.6514052546088478,101,phase_mean::Manual
0.5633663366336634,1.2,15,low_is_c3,0.008448844884488464,-0.12673267326732685,1.3267326732673268,101,phase_count::EnvironmentDoc
0.5633663366336633,0.8,15,high_is_c3,0.00844884488448845,0.12673267326732673,0.6732673267326733,101,phase_count::Reflection
0.5752475247524752,0.5777777777777777,15,high_is_c3,0.00818795406965499,0.10583058305830578,0.47194719471947194,101,phase_low05::CodeReviewModification
0.5633663366336633,0.1866910866910867,15,high_is_c3,0.007062286866303649,0.02303430892539804,0.16365677776568865,101,low_score_rate_0_2
0.5633663366336634,0.8133089133089133,15,low_is_c3,0.007062286866303648,-0.02303430892539804,0.8363432222343113,101,high_score_rate_0_2
0.5798679867986798,0.4349469112678272,15,low_is_c3,0.006643301161929349,-0.06786485619216714,0.5028117674599943,101,phase_mean::CodeReviewModification
0.5442244224422442,0.9980313237342013,15,low_is_c3,0.005212278956112305,0.012008441097964617,0.9860228826362367,101,phase_mean::LanguageChoose
0.5442244224422442,0.9980313237342013,15,low_is_c3,0.005212278956112305,0.012008441097964617,0.9860228826362367,101,role_mean::Chief Technology Officer
0.5551155115511551,0.38857142857142857,15,high_is_c3,0.0049153060203588166,0.05444837340876946,0.3341230551626591,101,role_low05::Programmer
0.5148514851485149,3.0,15,low_is_c3,0.0039428721633225335,-0.02970297029702973,3.0297029702970297,101,phase_count::CodeReviewModification
0.5765676567656766,0.7317697028735328,15,low_is_c3,0.003230698632417306,-0.03700978507710484,0.7687794879506377,101,phase_mean::EnvironmentDoc
