cluster,consistency_score_file_iqr,consistency_score_file_mean,consistency_score_file_median,consistency_score_file_q10,consistency_score_file_q25,consistency_score_file_q75,consistency_score_file_std,high_score_rate_0_7,high_score_rate_0_8,high_score_rate_0_9,label,low_score_rate_0_2,low_score_rate_0_5,num_files,num_turns,pca_x,pca_y,phase_mean::CodeComplete,phase_mean::CodeReviewComment,phase_mean::CodeReviewModification,phase_mean::Coding,phase_mean::DemandAnalysis,phase_mean::EnvironmentDoc,phase_mean::LanguageChoose,phase_mean::Manual,phase_mean::Reflection,phase_mean::TestErrorSummary,phase_mean::TestModification,role_mean::Chief Executive Officer,role_mean::Chief Product Officer,role_mean::Chief Technology Officer,role_mean::Code Reviewer,role_mean::Programmer,worst_score
1,0.44937244950948496,0.6200663230623207,0.6754349805866565,0.17849864587592146,0.41706576714751453,0.8664382166569995,0.3084037361588257,0.4768772893772894,0.36571657509157507,0.265224358974359,c1,0.15636446886446886,0.32026098901098904,32,430,-2.650604623722624,0.9349994514152837,0.2596398660397911,0.49821834976714036,0.5229516026021949,0.7374120831052217,0.5534075030406521,0.7279269819035199,0.9980467246139315,0.6734498132972301,0.7665118482010386,0.6810043380058671,0.7639309327205308,0.7665118482010386,0.5903435985042146,0.9980467246139315,0.49821834976714036,0.6140343667736342,0.07043989196046847
2,0.39045251282289534,0.6207124374057802,0.6737635882397832,0.19502564426775276,0.45638288533815424,0.8468353981610496,0.2991483152696882,0.4764835164835165,0.354041514041514,0.27487179487179486,c2,0.16791208791208792,0.313015873015873,15,203,-4.648989511410528,1.1879905582822328,0.2596398660397911,0.5084251658061842,0.5191448202244094,0.686162614697755,0.5478278607757406,0.7891797548925763,0.9979205305083465,0.6906018027112034,0.70723264701066,0.0,0.6666665333999371,0.70723264701066,0.5915341695314945,0.9979205305083465,0.5084251658061842,0.614193385705561,0.07917126685075516
3,0.423763299892221,0.5747902964943917,0.61908489297257,0.12190178290385863,0.3894682113624555,0.8132315112546765,0.3144689041347353,0.3953601953601954,0.2981440781440782,0.22442002442002443,c3,0.1866910866910867,0.3813919413919414,15,204,5.715493590845864,2.7507184661486073,0.2596398660397911,0.4305462212838275,0.4349469112678272,0.7111189860016817,0.49757898242410925,0.7143142431391779,0.9980770935647452,0.689409470954923,0.7813830830083507,0.6810043380058671,0.7639309327205308,0.7813830830083507,0.5563026013621134,0.9980770935647452,0.4305462212838275,0.5556775395496265,0.03689625244718042
4,0.45951815910175114,0.6015243359411564,0.654033073277862,0.1470534827648047,0.3899107177537443,0.8494288768554955,0.3120514297786391,0.4479638009049774,0.3429217840982547,0.2365869424692954,c4,0.17808661926308986,0.3526179702650291,17,226,1.5841005442872889,-4.873708475846122,0.0,0.5665110983185604,0.44995955141799826,0.7192844736529413,0.5076371453824942,0.6953868167051969,0.9987826585963782,0.6687146964383122,0.6925476391838741,0.0,0.6666665333999371,0.6925476391838741,0.5583467447889554,0.9987826585963782,0.5665110983185604,0.5619884579706833,0.061486193333436925
