accuracy,auc_best_direction,balanced_accuracy,c0_mean,c0_n,c1_mean,c1_n,direction,eta2,f1,f2,fn,fp,precision,recall,recall_cap,score_key,specificity,threshold,tn,tp
0.7246376811594203,0.7753378378378378,0.7094594594594594,-0.30258484187944873,37,0.3498637234236705,32,high_is_c1,0.24028981875905164,0.6274509803921569,0.54421768707483,16,3,0.8421052631578947,0.5,0.5,c0_vs_c1_lda_top_76_score,0.918918918918919,0.4032233203558693,34,16
0.7246376811594203,0.7449324324324325,0.7094594594594594,-0.2244280813653694,37,0.25949496907870806,32,high_is_c1,0.16760958673464138,0.6274509803921569,0.54421768707483,16,3,0.8421052631578947,0.5,0.5,c0_vs_c1_lda_top_30_score,0.918918918918919,0.3480965573592809,34,16
0.7246376811594203,0.7356418918918919,0.7094594594594594,-0.2068956012648607,37,0.23922303896249497,32,high_is_c1,0.15956798583527004,0.6274509803921569,0.54421768707483,16,3,0.8421052631578947,0.5,0.5,c0_vs_c1_lda_top_20_score,0.918918918918919,0.330764363365676,34,16
0.7391304347826086,0.7609797297297297,0.7208614864864865,-0.2825621401293694,37,0.32671247452518304,32,high_is_c1,0.21758874876396425,0.625,0.5208333333333334,17,1,0.9375,0.46875,0.5,c0_vs_c1_lda_top_50_score,0.972972972972973,0.44315505806146105,36,15
0.6231884057971014,0.613597972972973,0.6148648648648649,0.38820558195558197,37,0.3167467948717949,32,low_is_c1,0.02690241041417596,0.5517241379310345,0.5194805194805194,16,10,0.6153846153846154,0.5,0.5,high_low_half_penalty_0_7_0_5,0.7297297297297297,0.33379120879120877,27,16
0.6086956521739131,0.6085304054054055,0.6013513513513513,0.21410772035772035,37,0.15662774725274725,32,low_is_c1,0.0397990354284079,0.5423728813559322,0.5161290322580645,16,11,0.5925925925925926,0.5,0.5,high_low_half_penalty_0_9_0_3,0.7027027027027027,0.1291208791208791,26,16
0.6086956521739131,0.6127533783783784,0.6013513513513513,0.1787009537009537,37,0.09473443223443223,32,low_is_c1,0.03586862462664233,0.5423728813559322,0.5161290322580645,16,11,0.5925925925925926,0.5,0.5,high_low_gap_0_8_0_4,0.7027027027027027,0.09401709401709402,26,16
0.6086956521739131,0.5983952702702703,0.6013513513513513,0.2647844272844273,37,0.20935210622710623,32,low_is_c1,0.02313633291046823,0.5423728813559322,0.5161290322580645,16,11,0.5925925925925926,0.5,0.5,high_low_gap_0_8_0_2,0.7027027027027027,0.22252747252747251,26,16
0.6811594202898551,0.6372466216216216,0.6625844594594594,-0.08612877194266791,37,0.09958639255870998,32,high_is_c1,0.0581699516296559,0.5416666666666666,0.4513888888888889,19,3,0.8125,0.40625,0.5,c0_vs_c1_lda_top_5_score,0.918918918918919,0.29941827486501316,34,13
0.6231884057971014,0.6397804054054054,0.6127533783783784,0.7915897182909476,37,0.8406159579994065,32,high_is_c1,0.0461009857508838,0.5357142857142857,0.4934210526315789,17,9,0.625,0.46875,0.5,entropy_normalized,0.7567567567567568,0.8794418163774453,28,15
