threshold,tp,fp,tn,fn,precision,recall,specificity,f1,f2,accuracy,balanced_accuracy,youden_j
-1.277969033882744,32,37,0,0,0.463768115942029,1.0,0.0,0.6336633663366337,0.8121827411167513,0.463768115942029,0.5,0.0
-1.2481901283790284,32,36,1,0,0.47058823529411764,1.0,0.02702702702702703,0.6399999999999999,0.8163265306122449,0.4782608695652174,0.5135135135135135,0.027027027027026973
-1.2131251706692943,32,35,2,0,0.47761194029850745,1.0,0.05405405405405406,0.6464646464646464,0.8205128205128204,0.4927536231884058,0.527027027027027,0.054054054054053946
-1.1614968565009387,32,34,3,0,0.48484848484848486,1.0,0.08108108108108109,0.653061224489796,0.8247422680412371,0.5072463768115942,0.5405405405405406,0.08108108108108114
-1.0836606408600984,32,33,4,0,0.49230769230769234,1.0,0.10810810810810811,0.6597938144329897,0.8290155440414508,0.5217391304347826,0.5540540540540541,0.10810810810810811
-0.9943174845493017,32,32,5,0,0.5,1.0,0.13513513513513514,0.6666666666666666,0.8333333333333334,0.5362318840579711,0.5675675675675675,0.1351351351351351
-0.9364461357565541,31,32,5,1,0.49206349206349204,0.96875,0.13513513513513514,0.6526315789473683,0.8115183246073298,0.5217391304347826,0.5519425675675675,0.10388513513513509
-0.9119210583333056,31,31,6,1,0.5,0.96875,0.16216216216216217,0.6595744680851063,0.8157894736842105,0.5362318840579711,0.5654560810810811,0.13091216216216228
-0.885964893952122,31,30,7,1,0.5081967213114754,0.96875,0.1891891891891892,0.6666666666666667,0.8201058201058201,0.5507246376811594,0.5789695945945946,0.15793918918918926
-0.8777334291316773,31,29,8,1,0.5166666666666667,0.96875,0.21621621621621623,0.673913043478261,0.824468085106383,0.5652173913043478,0.5924831081081081,0.18496621621621623
-0.8212323764367608,31,28,9,1,0.5254237288135594,0.96875,0.24324324324324326,0.6813186813186813,0.8288770053475936,0.5797101449275363,0.6059966216216216,0.2119932432432432
-0.7610470504789209,31,27,10,1,0.5344827586206896,0.96875,0.2702702702702703,0.6888888888888889,0.8333333333333333,0.5942028985507246,0.6195101351351351,0.23902027027027017
-0.7334741065151053,31,26,11,1,0.543859649122807,0.96875,0.2972972972972973,0.6966292134831461,0.8378378378378377,0.6086956521739131,0.6330236486486487,0.26604729729729737
-0.700643588068925,30,26,11,2,0.5357142857142857,0.9375,0.2972972972972973,0.6818181818181818,0.8152173913043478,0.5942028985507246,0.6173986486486487,0.23479729729729737
-0.6499734153948205,29,26,11,3,0.5272727272727272,0.90625,0.2972972972972973,0.6666666666666665,0.7923497267759563,0.5797101449275363,0.6017736486486487,0.20354729729729737
-0.6015469370327569,29,25,12,3,0.5370370370370371,0.90625,0.32432432432432434,0.6744186046511628,0.7967032967032968,0.5942028985507246,0.6152871621621622,0.23057432432432434
-0.5425512053064312,29,24,13,3,0.5471698113207547,0.90625,0.35135135135135137,0.6823529411764705,0.8011049723756907,0.6086956521739131,0.6288006756756757,0.2576013513513513
-0.48893991343192267,28,24,13,4,0.5384615384615384,0.875,0.35135135135135137,0.6666666666666667,0.7777777777777777,0.5942028985507246,0.6131756756756757,0.22635135135135132
-0.46282034505275116,28,23,14,4,0.5490196078431373,0.875,0.3783783783783784,0.674698795180723,0.7821229050279329,0.6086956521739131,0.6266891891891893,0.2533783783783785
-0.4360893352209588,28,22,15,4,0.56,0.875,0.40540540540540543,0.6829268292682927,0.7865168539325843,0.6231884057971014,0.6402027027027027,0.2804054054054055
-0.3738047813216592,28,21,16,4,0.5714285714285714,0.875,0.43243243243243246,0.691358024691358,0.7909604519774011,0.6376811594202898,0.6537162162162162,0.30743243243243246
-0.28951572700616907,28,20,17,4,0.5833333333333334,0.875,0.4594594594594595,0.7000000000000001,0.7954545454545454,0.6521739130434783,0.6672297297297297,0.33445945945945943
-0.25551683193416114,27,20,17,5,0.574468085106383,0.84375,0.4594594594594595,0.6835443037974684,0.7714285714285715,0.6376811594202898,0.6516047297297297,0.30320945945945943
-0.24293677951210077,26,20,17,6,0.5652173913043478,0.8125,0.4594594594594595,0.6666666666666667,0.7471264367816091,0.6231884057971014,0.6359797297297297,0.27195945945945943
-0.20094712411689003,26,19,18,6,0.5777777777777777,0.8125,0.4864864864864865,0.6753246753246752,0.7514450867052023,0.6376811594202898,0.6494932432432432,0.2989864864864864
-0.16150181591661755,26,18,19,6,0.5909090909090909,0.8125,0.5135135135135135,0.6842105263157896,0.755813953488372,0.6521739130434783,0.6630067567567568,0.3260135135135136
-0.1538605141395823,26,17,20,6,0.6046511627906976,0.8125,0.5405405405405406,0.6933333333333334,0.760233918128655,0.6666666666666666,0.6765202702702703,0.35304054054054057
-0.15063047662405837,25,17,20,7,0.5952380952380952,0.78125,0.5405405405405406,0.6756756756756757,0.7352941176470589,0.6521739130434783,0.6608952702702703,0.32179054054054057
-0.12925855496365182,25,16,21,7,0.6097560975609756,0.78125,0.5675675675675675,0.684931506849315,0.7396449704142012,0.6666666666666666,0.6744087837837838,0.34881756756756754
-0.10388219664485218,24,16,21,8,0.6,0.75,0.5675675675675675,0.6666666666666665,0.7142857142857143,0.6521739130434783,0.6587837837837838,0.31756756756756754
-0.08858068563509089,23,16,21,9,0.5897435897435898,0.71875,0.5675675675675675,0.6478873239436619,0.688622754491018,0.6376811594202898,0.6431587837837838,0.28631756756756754
-0.0521359292999717,23,15,22,9,0.6052631578947368,0.71875,0.5945945945945946,0.6571428571428571,0.6927710843373495,0.6521739130434783,0.6566722972972974,0.31334459459459474
-0.02170788593608902,23,14,23,9,0.6216216216216216,0.71875,0.6216216216216216,0.6666666666666667,0.696969696969697,0.6666666666666666,0.6701858108108107,0.3403716216216215
-0.016231398238510584,22,14,23,10,0.6111111111111112,0.6875,0.6216216216216216,0.6470588235294118,0.6707317073170732,0.6521739130434783,0.6545608108108107,0.3091216216216215
-0.006477919815729577,22,13,24,10,0.6285714285714286,0.6875,0.6486486486486487,0.6567164179104478,0.6748466257668712,0.6666666666666666,0.6680743243243243,0.3361486486486487
0.010440972636489788,22,12,25,10,0.6470588235294118,0.6875,0.6756756756756757,0.6666666666666667,0.6790123456790123,0.6811594202898551,0.6815878378378378,0.36317567567567566
0.0354925249415389,22,11,26,10,0.6666666666666666,0.6875,0.7027027027027027,0.676923076923077,0.6832298136645962,0.6956521739130435,0.6951013513513513,0.39020270270270263
0.07170115865191458,21,11,26,11,0.65625,0.65625,0.7027027027027027,0.65625,0.65625,0.6811594202898551,0.6794763513513513,0.35895270270270263
0.10655986075045962,21,10,27,11,0.6774193548387096,0.65625,0.7297297297297297,0.6666666666666667,0.660377358490566,0.6956521739130435,0.6929898648648649,0.3859797297297298
0.12944169354851598,21,9,28,11,0.7,0.65625,0.7567567567567568,0.6774193548387096,0.6645569620253164,0.7101449275362319,0.7065033783783784,0.4130067567567568
0.1649823420567577,20,9,28,12,0.6896551724137931,0.625,0.7567567567567568,0.6557377049180328,0.6369426751592356,0.6956521739130435,0.6908783783783784,0.3817567567567568
0.19412044561687303,19,9,28,13,0.6785714285714286,0.59375,0.7567567567567568,0.6333333333333334,0.608974358974359,0.6811594202898551,0.6752533783783784,0.3505067567567568
0.20413310134345014,18,9,28,14,0.6666666666666666,0.5625,0.7567567567567568,0.6101694915254238,0.5806451612903225,0.6666666666666666,0.6596283783783784,0.3192567567567568
0.23648980688858773,18,8,29,14,0.6923076923076923,0.5625,0.7837837837837838,0.6206896551724138,0.5844155844155844,0.6811594202898551,0.6731418918918919,0.34628378378378377
0.2614204176887187,18,7,30,14,0.72,0.5625,0.8108108108108109,0.631578947368421,0.5882352941176471,0.6956521739130435,0.6866554054054055,0.37331081081081097
0.2721477383717103,18,6,31,14,0.75,0.5625,0.8378378378378378,0.6428571428571429,0.5921052631578947,0.7101449275362319,0.7001689189189189,0.4003378378378377
0.28851975120577233,17,6,31,15,0.7391304347826086,0.53125,0.8378378378378378,0.6181818181818182,0.5629139072847682,0.6956521739130435,0.6845439189189189,0.3690878378378377
