label,max,mean,median,min,num_files,num_turns,q1,q3,std
c0,1.0,0.6415984163983728,0.7455465220992376,1.3528840421585644e-10,37,513,0.39615539919324194,0.9694799006373269,0.3393267743675651
c1,1.0,0.6206128486930061,0.6800558155243296,0.0,32,430,0.374082853683699,0.9172283431430381,0.3275271511306623
c2,0.9999998959770916,0.6219957629799311,0.6791088765843872,0.0,15,203,0.397560842915441,0.9302969517503392,0.3314284891723704
c3,1.0,0.5761999811800064,0.6414744558749901,0.0,15,204,0.29008870151122457,0.8598280340884575,0.33192449841164934
c4,1.0,0.603860174482848,0.666659365786344,0.0,17,226,0.3585521621440664,0.8817825574022282,0.33243911568663576
