accuracy,auc_best_direction,balanced_accuracy,c0_mean,c0_n,c1_mean,c1_n,direction,eta2,f1,f2,fn,fp,precision,recall,score_key,specificity,threshold,tn,tp
0.7391304347826086,0.7449324324324325,0.7356418918918919,-0.2244280813653694,37,0.25949496907870806,32,high_is_c1,0.16760958673464138,0.7096774193548386,0.6962025316455696,10,8,0.7333333333333333,0.6875,c0_vs_c1_lda_top_30_score,0.7837837837837838,0.12696032906406485,29,22
0.6521739130434783,0.7753378378378378,0.6672297297297297,-0.30258484187944873,37,0.3498637234236705,32,high_is_c1,0.24028981875905164,0.7000000000000001,0.7954545454545454,4,20,0.5833333333333334,0.875,c0_vs_c1_lda_top_76_score,0.4594594594594595,-0.2895157270061691,17,28
0.6376811594202898,0.7609797297297297,0.6537162162162162,-0.2825621401293694,37,0.32671247452518304,32,high_is_c1,0.21758874876396425,0.691358024691358,0.7909604519774011,4,21,0.5714285714285714,0.875,c0_vs_c1_lda_top_50_score,0.43243243243243246,-0.37193850970935405,16,28
0.6086956521739131,0.6009290540540541,0.6288006756756757,0.333985083985084,37,0.25968406593406596,32,low_is_c1,0.024439253728892617,0.6823529411764705,0.8011049723756907,3,24,0.5471698113207547,0.90625,high_low_gap_0_7_0_3,0.35135135135135137,0.4285714285714286,13,29
0.7101449275362319,0.7356418918918919,0.7065033783783784,-0.2068956012648607,37,0.23922303896249497,32,high_is_c1,0.15956798583527004,0.6774193548387096,0.6645569620253164,11,9,0.7,0.65625,c0_vs_c1_lda_top_20_score,0.7567567567567568,0.14647901769833027,28,21
0.6086956521739131,0.6169763513513513,0.6266891891891893,0.46024321024321024,37,0.39869505494505497,32,low_is_c1,0.02834404839020397,0.674698795180723,0.7821229050279329,4,23,0.5490196078431373,0.875,high_low_half_penalty_0_7_0_2,0.3783783783783784,0.5370879120879122,14,28
0.5942028985507246,0.613597972972973,0.6152871621621622,0.43751629376629375,37,0.3682806776556777,32,low_is_c1,0.03159298768895451,0.6744186046511628,0.7967032967032968,3,25,0.5370370370370371,0.90625,high_low_half_penalty_0_7_0_3,0.32432432432432434,0.5370879120879122,12,29
0.5942028985507246,0.6271114864864865,0.6131756756756757,-0.07268239291906242,37,0.08403901681266589,32,high_is_c1,0.053702804917881534,0.6666666666666667,0.7777777777777777,4,24,0.5384615384615384,0.875,c0_vs_c1_lda_top_3_score,0.35135135135135137,-0.26630884450000564,13,28
0.5652173913043478,0.558277027027027,0.5903716216216216,0.05944990627192881,37,-0.09573580537747224,32,low_is_c1,0.01718341602530502,0.6666666666666667,0.8064516129032259,2,28,0.5172413793103449,0.9375,c2_repetition_symptom_score,0.24324324324324326,0.49694465231381235,9,30
0.6086956521739131,0.6372466216216216,0.6245777027027027,-0.08612877194266791,37,0.09958639255870998,32,high_is_c1,0.0581699516296559,0.6666666666666666,0.7627118644067797,5,22,0.5510204081632653,0.84375,c0_vs_c1_lda_top_5_score,0.40540540540540543,-0.20194821914989514,15,27
0.6086956521739131,0.6309121621621622,0.6245777027027027,-0.088167674480289,37,0.10194387361783439,32,high_is_c1,0.05625612269654371,0.6666666666666666,0.7627118644067797,5,22,0.5510204081632653,0.84375,c0_vs_c1_lda_top_8_score,0.40540540540540543,-0.22083149025299487,15,27
0.6086956521739131,0.6241554054054054,0.6245777027027027,-0.09024316495732787,37,0.10434365948191038,32,high_is_c1,0.05594934764388553,0.6666666666666666,0.7627118644067797,5,22,0.5510204081632653,0.84375,c0_vs_c1_lda_top_12_score,0.40540540540540543,-0.23127020551338395,15,27
0.6086956521739131,0.6241554054054055,0.6245777027027027,0.7217116004437626,37,0.6754349805866565,32,low_is_c1,0.02936174013833483,0.6666666666666666,0.7627118644067797,5,22,0.5510204081632653,0.84375,consistency_score_file_median,0.40540540540540543,0.7863218548329183,15,27
0.6086956521739131,0.6017736486486487,0.6245777027027027,0.37943891693891696,37,0.32051282051282054,32,low_is_c1,0.01889617790855062,0.6666666666666666,0.7627118644067797,5,22,0.5510204081632653,0.84375,high_low_gap_0_7_0_2,0.40540540540540543,0.4285714285714286,15,27
0.5652173913043478,0.6140202702702703,0.5882601351351351,0.29335544335544333,37,0.20589514652014654,32,low_is_c1,0.02911639822914441,0.6590909090909092,0.7880434782608696,3,27,0.5178571428571429,0.90625,high_low_gap_0_7_0_4,0.2702702702702703,0.4285714285714286,10,29
0.5942028985507246,0.6161317567567568,0.6110641891891893,0.19379290004290003,37,0.12973328754578756,32,low_is_c1,0.043284632919826066,0.6585365853658537,0.7584269662921349,5,23,0.54,0.84375,high_low_half_penalty_0_9_0_4,0.3783783783783784,0.25,14,27
0.5942028985507246,0.6199324324324325,0.6110641891891893,0.28394486349667025,37,0.23714861784990873,32,low_is_c1,0.04152691156194881,0.6585365853658537,0.7584269662921349,5,23,0.54,0.84375,high_density_score_0_8,0.3783783783783784,0.3450374576228802,14,27
0.6231884057971014,0.6076858108108107,0.6338682432432432,0.3228618041118041,37,0.25711996336996334,32,low_is_c1,0.03972658078852841,0.6578947368421052,0.7267441860465117,7,19,0.5681818181818182,0.78125,high_low_half_penalty_0_8_0_3,0.4864864864864865,0.3591269841269841,18,25
0.6376811594202898,0.6262668918918919,0.6452702702702703,0.4263930138930139,37,0.36571657509157507,32,low_is_c1,0.05011682800931245,0.6575342465753423,0.7100591715976332,8,17,0.5853658536585366,0.75,high_score_rate_0_8,0.5405405405405406,0.4365079365079365,20,24
0.5217391304347826,0.5253378378378378,0.5519425675675675,0.4326662938407997,37,0.41706576714751453,32,low_is_c1,0.0015653456784353963,0.6526315789473683,0.8115183246073298,1,32,0.49206349206349204,0.96875,consistency_score_file_q25,0.13513513513513514,0.6806397737839394,5,31
0.5507246376811594,0.620777027027027,0.5747466216216216,0.41720147345147346,37,0.341386217948718,32,low_is_c1,0.034203031091087535,0.651685393258427,0.7837837837837839,3,28,0.5087719298245614,0.90625,high_low_half_penalty_0_7_0_4,0.24324324324324326,0.5370879120879122,9,29
0.5652173913043478,0.5869932432432432,0.5861486486486487,0.011955086955086952,37,-0.055036630036630035,32,low_is_c1,0.022038780105268514,0.6511627906976744,0.7692307692307693,4,26,0.5185185185185185,0.875,high_low_gap_0_9_0_5,0.2972972972972973,0.15384615384615383,11,28
0.5797101449275363,0.6013513513513513,0.5975506756756757,0.2735510923010923,37,0.20558608058608058,32,low_is_c1,0.0328701876532709,0.6506024096385543,0.7541899441340781,5,24,0.5294117647058824,0.84375,high_low_half_penalty_0_8_0_5,0.35135135135135137,0.37087912087912084,13,27
0.5942028985507246,0.6081081081081081,0.6089527027027027,0.06994686994686994,37,-0.005757783882783884,32,low_is_c1,0.03596076232266167,0.65,0.7386363636363635,6,22,0.5416666666666666,0.8125,high_low_gap_0_9_0_4,0.40540540540540543,0.14835164835164838,15,26
0.4927536231884058,0.6123310810810811,0.527027027027027,0.3455887205887206,37,0.28753434065934064,32,low_is_c1,0.035593163600250485,0.6464646464646464,0.8205128205128204,0,35,0.47761194029850745,1.0,high_low_half_penalty_0_8_0_2,0.05405405405405406,0.5961538461538463,2,32
0.4927536231884058,0.5223817567567568,0.527027027027027,0.3056838431838432,37,0.32026098901098904,32,high_is_c1,0.002616801837244269,0.6464646464646464,0.8205128205128204,0,35,0.47761194029850745,1.0,low_score_rate_0_5,0.05405405405405406,0.07417582417582418,2,32
0.5072463768115942,0.5992398648648649,0.5384290540540541,0.23536366036366035,37,0.15661630036630036,32,low_is_c1,0.01939146402232841,0.6458333333333334,0.8072916666666666,1,33,0.484375,0.96875,high_low_gap_0_7_0_5,0.10810810810810811,0.5714285714285714,4,31
0.5362318840579711,0.613597972972973,0.5612331081081081,0.38820558195558197,37,0.3167467948717949,32,low_is_c1,0.02690241041417596,0.6444444444444445,0.7795698924731183,3,29,0.5,0.90625,high_low_half_penalty_0_7_0_5,0.21621621621621623,0.5563186813186813,8,29
0.5362318840579711,0.5358952702702703,0.5612331081081081,0.19220478316473327,37,0.17849864587592146,32,low_is_c1,0.001479383127569009,0.6444444444444445,0.7795698924731183,3,29,0.5,0.90625,consistency_score_file_q10,0.21621621621621623,0.38426721675951225,8,29
