accuracy,auc_best_direction,direction,eta_squared,f1,positive_mean,positive_n,positive_raw_labels,precision,recall,rest_mean,rest_n,score_key,score_title,target_label,threshold,threshold_rule
0.6982758620689655,0.6476223058501539,high_is_target,0.04456200570974181,0.5569620253164557,0.7217116004437626,37,0.0,0.5238095238095238,0.5945945945945946,0.6598127701605312,79,consistency_score_file_median,Median Turn Score,c0,0.7260470544841214,consistency_score_file_median >= 0.726047
0.6293103448275862,0.6312008210742388,low_is_target,0.03257123025576351,0.5473684210526315,0.7915897182909476,37,0.0,0.4482758620689655,0.7027027027027027,0.8377729557732116,79,entropy_normalized,Binned Score Entropy,c0,0.855539307240039,entropy_normalized <= 0.855539
0.5431034482758621,0.645740677386247,high_is_target,0.04374973629100524,0.5470085470085471,0.46024321024321024,37,0.0,0.4,0.8648648648648649,0.3706078731395187,79,high_low_half_penalty_0_7_0_2,High >= 0.7 Minus 0.5 Low < 0.2,c0,0.31009615384615385,high_low_half_penalty_0_7_0_2 >= 0.310096
0.5431034482758621,0.5521724255901471,high_is_target,0.007455492354868631,0.5470085470085471,0.4663090288090288,37,0.0,0.4,0.8648648648648649,0.42306764964992816,79,high_low_gap_0_6_0_2,High >= 0.6 Minus Low < 0.2,c0,0.31009615384615385,high_low_gap_0_6_0_2 >= 0.310096
0.5431034482758621,0.5470407115976736,high_is_target,0.008620138652633292,0.5470085470085471,0.5471133221133221,37,0.0,0.4,0.8648648648648649,0.5075624797143785,79,high_low_half_penalty_0_6_0_2,High >= 0.6 Minus 0.5 Low < 0.2,c0,0.3867521367521367,high_low_half_penalty_0_6_0_2 >= 0.386752
0.5948275862068966,0.6322271638727335,high_is_target,0.038043434057966764,0.5436893203883495,0.38820558195558197,37,0.0,0.42424242424242425,0.7567567567567568,0.2863750173876756,79,high_low_half_penalty_0_7_0_5,High >= 0.7 Minus 0.5 Low < 0.5,c0,0.31456043956043955,high_low_half_penalty_0_7_0_5 >= 0.31456
0.5775862068965517,0.6368457064659596,high_is_target,0.0437721948093628,0.5420560747663551,0.41720147345147346,37,0.0,0.4142857142857143,0.7837837837837838,0.31454305188482407,79,high_low_half_penalty_0_7_0_4,High >= 0.7 Minus 0.5 Low < 0.4,c0,0.33379120879120877,high_low_half_penalty_0_7_0_4 >= 0.333791
0.5775862068965517,0.5887786520697913,high_is_target,0.013423362614617292,0.5420560747663551,0.4831162333532478,37,0.0,0.4142857142857143,0.7837837837837838,0.43861258110523227,79,low_tail_penalty_score,Mean Minus Low Tail,c0,0.4170164868919131,low_tail_penalty_score >= 0.417016
0.5775862068965517,0.5703044816968867,high_is_target,0.008137831090069542,0.5420560747663551,0.46198112050252843,37,0.0,0.4142857142857143,0.7837837837837838,0.4444621560241681,79,failure_sensitive_score,70% Mean + 30% Worst,c0,0.42541977852242513,failure_sensitive_score >= 0.42542
0.6206896551724138,0.6284639069449196,high_is_target,0.04173531531486241,0.5416666666666666,0.11057651057651058,37,0.0,0.4406779661016949,0.7027027027027027,0.023392219594751237,79,high_low_gap_0_9_0_3,High >= 0.9 Minus Low < 0.3,c0,0.0357142857142857,high_low_gap_0_9_0_3 >= 0.0357143
0.5431034482758621,0.6233321929524461,high_is_target,0.03672461919892301,0.5391304347826087,0.333985083985084,37,0.0,0.3974358974358974,0.8378378378378378,0.22534891269068485,79,high_low_gap_0_7_0_3,High >= 0.7 Minus Low < 0.3,c0,0.18406593406593405,high_low_gap_0_7_0_3 >= 0.184066
0.5431034482758621,0.6010947656517277,high_is_target,0.0279153747863862,0.5391304347826087,0.6447248199618344,37,0.0,0.3974358974358974,0.8378378378378378,0.6076022412341329,79,consistency_score_file_mean,Mean Turn Score,c0,0.5808183802312237,consistency_score_file_mean >= 0.580818
0.5258620689655172,0.6363325350667123,high_is_target,0.03541025076050773,0.5378151260504203,0.37943891693891696,37,0.0,0.3902439024390244,0.8648648648648649,0.2861130430750684,79,high_low_gap_0_7_0_2,High >= 0.7 Minus Low < 0.2,c0,0.21538461538461537,high_low_gap_0_7_0_2 >= 0.215385
0.5086206896551724,0.6288060212110845,high_is_target,0.04375652780253227,0.5365853658536586,0.06994686994686994,37,0.0,0.38372093023255816,0.8918918918918919,-0.027973292530254556,79,high_low_gap_0_9_0_4,High >= 0.9 Minus Low < 0.4,c0,-0.14835164835164838,high_low_gap_0_9_0_4 >= -0.148352
0.6120689655172413,0.6433458775230927,high_is_target,0.0461161243298586,0.5360824742268041,0.2647844272844273,37,0.0,0.43333333333333335,0.7027027027027027,0.17677470209115778,79,high_low_gap_0_8_0_2,High >= 0.8 Minus Low < 0.2,c0,0.22252747252747251,high_low_gap_0_8_0_2 >= 0.222527
