class,figure,score_key,rule,direction,threshold,eta2,f1,accuracy,precision,recall,specificity,tp,fp,tn,fn,note
c1,c0_vs_c1_lda_top_76_threshold_0_035_boxplot.png,c0_vs_c1_lda_top_76_score,score >= 0.035493 -> c1,high_is_c1,0.0354925249415389,0.24028981875905164,0.676923076923077,0.6956521739130435,0.6666666666666666,0.6875,0.7027027027027027,22,11,26,10,"LDA top-76 score; balanced threshold retained from the final c1 visual check."
c2,c0_vs_c2_best_single_score_boxplot.png,c0_vs_c2_lda_top_74_score,score >= -0.375470 -> c2,high_is_c2,-0.37546972032976933,0.15327934793788162,0.7704918032786885,0.6853932584269663,0.6714285714285714,0.9038461538461539,0.3783783783783784,47,23,14,5,"Best c0-vs-c2 score by F1 among the searched candidates."
c3,c0_vs_c3_best_single_score_boxplot.png,high_low_gap_0_9_0_5,score <= 0.071429 -> c3,low_is_c3,0.07142857142857145,0.06528800289602467,0.6835443037974684,0.6376811594202898,0.574468085106383,0.84375,0.4594594594594595,27,20,17,5,"Best single-score c0-vs-c3 candidate by F1; c3 is associated with lower score."
c4,c0_vs_c4_consistency_score_file_q75_threshold_0_837436_boxplot.png,consistency_score_file_q75,score <= 0.837436 -> c4,low_is_c4,0.8374364168133258,0.03439690705034094,0.4912280701754387,0.6081081081081081,0.7,0.3783783783783784,0.8378378378378378,14,6,31,23,"Precision-balanced c4 standard; chosen because c4 precision is prioritized over recall."
